销售日期,单品编码,净销量,售出量,销售额,打折销量,正常销量,售出记录数,退货记录数,均价,单品名称,分类编码,分类名称,损耗率,平均损耗率,批发价,加价率
2020-07-01,102900005115762,6.841,6.841,41.046,0.0,6.841,11,0,6.0,苋菜,1011010101,花叶类,18.52,12.83,3.88,0.5463917525773196
2020-07-01,102900005115779,41.966,41.966,335.728,0.0,41.966,114,0,8.0,云南生菜,1011010101,花叶类,15.25,12.83,6.72,0.19047619047619047
2020-07-01,102900005115786,11.352,11.352,68.11200000000001,0.0,11.352,24,0,6.000000000000001,竹叶菜,1011010101,花叶类,13.62,12.83,3.19,0.8808777429467087
2020-07-01,102900005115793,4.288,4.288,68.608,0.0,4.288,11,0,16.0,小白菜,1011010101,花叶类,7.59,12.83,9.24,0.7316017316017316
2020-07-01,102900005115823,11.475999999999999,11.475999999999999,114.76,0.0,11.475999999999999,28,0,10.000000000000002,上海青,1011010101,花叶类,14.43,12.83,7.03,0.42247510668563315
2020-07-01,102900005115908,8.959,8.959,71.672,0.0,8.959,20,0,8.0,菜心,1011010101,花叶类,13.7,12.83,4.6,0.7391304347826089
2020-07-01,102900005115946,3.039,3.039,21.273,0.0,3.039,9,0,7.0,木耳菜,1011010101,花叶类,7.61,12.83,4.2,0.6666666666666665
2020-07-01,102900005115960,14.748,14.748,47.1936,0.0,14.748,16,0,3.2,大白菜,1011010101,花叶类,22.27,12.83,2.1,0.5238095238095237
2020-07-01,102900005115984,32.579,32.579,195.47400000000002,0.0,32.579,71,0,6.0,云南油麦菜,1011010101,花叶类,12.81,12.83,3.44,0.7441860465116279
2020-07-01,102900005116226,2.844,2.844,22.752,0.0,2.844,9,0,8.0,青尖椒,1011010504,辣椒类,6.72,9.24,4.64,0.7241379310344829
2020-07-01,102900005116233,2.512,2.512,25.12,0.0,2.512,17,0,10.0,红椒(1),1011010504,辣椒类,11.76,9.24,5.76,0.7361111111111112
2020-07-01,102900005116257,17.661,17.661,105.966,0.0,17.661,32,0,5.999999999999999,紫茄子(2),1011010501,茄类,6.07,6.68,6.56,-0.08536585365853666
2020-07-01,102900005116509,17.713,17.713,70.852,0.0,17.713,28,0,4.0,青茄子(1),1011010501,茄类,5.01,6.68,1.63,1.4539877300613497
2020-07-01,102900005116530,7.693,7.693,138.084,0.195,7.498,40,0,17.94930456258937,西峡香菇(1),1011010801,食用菌,13.82,9.45,10.8,0.6619726446842007
2020-07-01,102900005116547,13.863,13.863,83.178,0.0,13.863,34,0,6.0,金针菇(1),1011010801,食用菌,3.43,9.45,4.06,0.47783251231527113
2020-07-01,102900005116714,35.426,34.99,489.86,0.0,34.99,79,0,14.0,西兰花,1011010201,花菜类,9.26,15.51,9.23,0.5167930660888407
2020-07-01,102900005116790,4.837,4.837,38.696,0.0,4.837,7,0,8.0,黄心菜(1),1011010101,花叶类,10.64,12.83,3.97,1.0151133501259446
2020-07-01,102900005116912,1.138,1.138,15.932000000000002,0.0,1.138,6,0,14.000000000000004,姬菇(1),1011010801,食用菌,8.99,9.45,8.16,0.7156862745098043
2020-07-01,102900005116943,2.129,2.129,38.322,0.0,2.129,11,0,18.0,红杭椒,1011010504,辣椒类,9.99,9.24,7.83,1.2988505747126435
2020-07-01,102900005117056,54.548,54.548,414.5648,0.0,54.548,137,0,7.6,泡泡椒(精品),1011010504,辣椒类,7.08,9.24,4.32,0.7592592592592591
2020-07-01,102900005117209,1.909,1.909,30.544,0.0,1.909,5,0,16.0,七彩椒(1),1011010504,辣椒类,15.98,9.24,7.58,1.1108179419525066
2020-07-01,102900005118817,5.4719999999999995,5.4719999999999995,76.608,0.0,5.4719999999999995,14,0,14.000000000000002,菠菜,1011010101,花叶类,18.51,12.83,8.47,0.6528925619834711
2020-07-01,102900005118824,4.119,4.119,41.19,0.0,4.119,13,0,10.0,高瓜(1),1011010402,水生根茎类,29.25,13.65,5.65,0.7699115044247786
2020-07-01,102900005118831,10.0,10.0,68.5,1.0,9.0,10,0,6.85,娃娃菜,1011010101,花叶类,2.48,12.83,4.13,0.6585956416464891
2020-07-01,102900005119944,0.783,0.783,12.528,0.0,0.783,3,0,16.0,海鲜菇(1),1011010801,食用菌,9.89,9.45,10.29,0.554907677356657
2020-07-01,102900005119975,22.402,22.402,109.042,12.685,9.717,58,0,4.867511829300955,红薯尖,1011010101,花叶类,8.42,12.83,3.6,0.3520866192502654
2020-07-01,102900005123880,0.927,0.927,11.124,0.0,0.927,3,0,12.0,灯笼椒(1),1011010504,辣椒类,16.33,9.24,7.5,0.6000000000000001
2020-07-01,102900005125808,4.383,4.383,113.0814,0.0,4.383,45,0,25.8,小米椒,1011010504,辣椒类,5.86,9.24,12.1,1.1322314049586777
2020-07-01,102900005125815,11.888,11.888,118.88,0.0,11.888,37,0,10.0,杏鲍菇(1),1011010801,食用菌,5.05,9.45,6.16,0.6233766233766234
2020-07-01,102900011001219,1.953,1.953,27.342,0.0,1.953,7,0,13.999999999999998,红灯笼椒(1),1011010504,辣椒类,8.93,9.24,8.24,0.6990291262135919
2020-07-01,102900011006948,2.623,2.623,41.968,0.0,2.623,9,0,16.0,外地茼蒿,1011010101,花叶类,26.16,12.83,11.69,0.3686911890504705
2020-07-01,102900011008522,18.271,18.271,146.168,0.0,18.271,32,0,8.0,甜白菜,1011010101,花叶类,9.43,12.83,4.44,0.8018018018018016
2020-07-01,102900011009970,12.086,12.086,108.774,0.0,12.086,24,0,9.0,青梗散花,1011010201,花菜类,17.06,15.51,6.03,0.4925373134328357
2020-07-01,102900051000944,0.7310000000000001,0.7310000000000001,29.093799999999998,0.0,0.7310000000000001,2,0,39.79999999999999,洪湖藕带,1011010402,水生根茎类,24.05,13.65,29.43,0.3523615358477741
2020-07-01,102900051004294,5.51,5.51,77.14,0.0,5.51,25,0,14.0,青线椒,1011010504,辣椒类,7.8,9.24,6.81,1.0558002936857562
2020-07-01,102900051010455,6.5489999999999995,6.5489999999999995,58.940999999999995,0.0,6.5489999999999995,11,0,9.0,黄白菜(2),1011010101,花叶类,15.61,12.83,4.63,0.9438444924406049
2020-07-02,102900005115762,8.112,8.112,48.672,0.0,8.112,14,0,6.0,苋菜,1011010101,花叶类,18.52,12.83,3.93,0.5267175572519083
2020-07-02,102900005115779,44.873,44.873,356.8496,0.464,44.409,111,0,7.952434648898001,云南生菜,1011010101,花叶类,15.25,12.83,4.23,0.8800081912288418
2020-07-02,102900005115786,11.556000000000001,11.556000000000001,69.336,0.0,11.556000000000001,24,0,5.999999999999999,竹叶菜,1011010101,花叶类,13.62,12.83,3.18,0.8867924528301883
2020-07-02,102900005115793,4.55,4.55,72.8,0.0,4.55,9,0,16.0,小白菜,1011010101,花叶类,7.59,12.83,9.19,0.7410228509249184
2020-07-02,102900005115823,6.806,6.806,68.06,0.0,6.806,17,0,10.0,上海青,1011010101,花叶类,14.43,12.83,7.03,0.42247510668563293
2020-07-02,102900005115908,14.275,14.275,114.2,0.0,14.275,35,0,8.0,菜心,1011010101,花叶类,13.7,12.83,4.52,0.7699115044247788
2020-07-02,102900005115946,3.124,3.124,21.868000000000002,0.0,3.124,7,0,7.0,木耳菜,1011010101,花叶类,7.61,12.83,4.23,0.6548463356973993
2020-07-02,102900005115960,11.228,11.228,34.5921,0.535,10.693,13,0,3.0808781617385113,大白菜,1011010101,花叶类,22.27,12.83,2.1,0.4670848389231006
2020-07-02,102900005115984,27.056,27.056,162.336,0.0,27.056,64,0,6.0,云南油麦菜,1011010101,花叶类,12.81,12.83,3.58,0.6759776536312849
2020-07-02,102900005116226,1.6669999999999998,1.6669999999999998,13.335999999999999,0.0,1.6669999999999998,7,0,8.0,青尖椒,1011010504,辣椒类,6.72,9.24,4.57,0.75054704595186
2020-07-02,102900005116233,3.2969999999999997,3.2969999999999997,32.97,0.0,3.2969999999999997,14,0,10.0,红椒(1),1011010504,辣椒类,11.76,9.24,5.71,0.7513134851138354
2020-07-02,102900005116257,14.432,14.432,101.024,0.0,14.432,26,0,7.0,紫茄子(2),1011010501,茄类,6.07,6.68,3.72,0.8817204301075268
2020-07-02,102900005116509,17.767,17.767,71.068,0.0,17.767,30,0,4.0,青茄子(1),1011010501,茄类,5.01,6.68,1.46,1.7397260273972601
2020-07-02,102900005116530,17.345,17.345,343.431,0.0,17.345,69,0,19.8,西峡香菇(1),1011010801,食用菌,13.82,9.45,10.8,0.8333333333333333
2020-07-02,102900005116547,17.208000000000002,17.208000000000002,103.248,0.0,17.208000000000002,43,0,6.0,金针菇(1),1011010801,食用菌,3.43,9.45,4.05,0.4814814814814816
2020-07-02,102900005116714,30.109,30.109,421.526,0.0,30.109,65,0,14.0,西兰花,1011010201,花菜类,9.26,15.51,8.9,0.5730337078651684
2020-07-02,102900005116790,10.625,10.625,85.0,0.0,10.625,17,0,8.0,黄心菜(1),1011010101,花叶类,10.64,12.83,3.97,1.0151133501259446
2020-07-02,102900005116912,1.539,1.539,21.546,0.0,1.539,9,0,14.0,姬菇(1),1011010801,食用菌,8.99,9.45,8.05,0.7391304347826086
2020-07-02,102900005116943,1.679,1.679,26.864,0.0,1.679,10,0,16.0,红杭椒,1011010504,辣椒类,9.99,9.24,7.27,1.2008253094910595
