单品编码,单品名称,有效销售天数,P50,P75,P90,P95,P99
102900005115168,牛首生菜,102,7.502,11.441,14.627,19.345,22.596
102900005115199,四川红香椿,151,1.598,2.563,4.602,5.701,12.1
102900005115250,西峡花菇(1),297,6.936,10.858,17.829,24.308,45.497
102900005115625,本地小毛白菜,47,1.743,2.952,6.493,7.171,10.415
102900005115748,白菜苔,92,6.7,11.081,16.431,20.094,22.734
102900005115762,苋菜,635,7.4,10.268,14.983,17.864,25.407
102900005115779,云南生菜,810,17.064,26.92,37.439,44.73,58.405
102900005115786,竹叶菜,667,9.574,15.766,21.018,25.549,35.381
102900005115793,小白菜,478,2.929,5.489,7.414,8.055,9.035
102900005115816,南瓜尖,4,5.057,5.487,5.933,6.081,6.2
102900005115823,上海青,919,6.043,11.183,16.724,22.023,35.722
102900005115854,萝卜叶,164,1.89,3.23,5.132,6.815,8.53
102900005115861,牛首油菜,285,9.951,18.604,25.732,31.411,47.363
102900005115878,茼蒿,514,6.996,10.39,14.157,17.524,27.668
102900005115885,蔡甸藜蒿,303,2.298,4.054,6.246,8.78,11.594
102900005115908,菜心,711,4.757,8.454,11.69,16.298,32.66
102900005115946,木耳菜,421,3.222,4.787,6.608,8.066,11.18
102900005115960,大白菜,480,24.153,48.359,94.456,120.472,178.998
102900005115977,豌豆尖,39,1.587,3.321,4.277,6.882,7.832
102900005115984,云南油麦菜,782,10.364,17.396,28.055,34.727,51.787
102900005116219,红尖椒,314,1.072,1.888,2.822,3.683,5.755
102900005116226,青尖椒,617,1.646,2.686,3.824,4.387,6.354
102900005116233,红椒(1),755,2.842,4.238,6.683,9.406,39.083
102900005116257,紫茄子(2),1022,11.534,16.547,23.421,29.184,40.955
102900005116509,青茄子(1),845,2.753,5.14,9.382,12.954,20.856
102900005116530,西峡香菇(1),821,11.326,17.258,30.26,38.144,53.191
102900005116547,金针菇(1),448,9.145,13.08,16.974,19.469,42.827
102900005116639,马齿苋,93,0.859,1.36,1.885,2.101,3.735
102900005116714,西兰花,1076,21.966,31.808,45.584,55.419,82.374
102900005116790,黄心菜(1),447,4.929,7.536,11.497,15.685,39.973
102900005116806,黑油菜,27,2.529,3.742,6.383,8.218,24.231
102900005116837,平菇,362,6.587,9.528,13.161,16.17,20.279
102900005116899,净藕(1),1057,22.666,36.685,52.482,61.042,83.608
102900005116905,青杭椒(1),5,0.339,0.424,0.467,0.482,0.493
102900005116912,姬菇(1),308,1.24,1.538,1.838,2.146,3.134
