样本,伪篮方法,窗口秒,伪篮总数,多行篮数,多行篮占比_%,多单品篮数,多单品篮占比_%,多行篮覆盖行数,多行篮覆盖行占比_%,最大篮行数,最大篮单品数,共现单品对数,最高共现次数,最高共现支持度_%,达到0.005支持度的共现对数,支持度0.005所需共现数
全部流水,分桶,1,756983,96593,12.7603,90585,11.9666,218113,24.8278,9,8,6284,1260,0.1665,0,3785
全部流水,间隔合并,1,692737,122245,17.6467,116689,16.8446,308011,35.0609,17,11,7534,2558,0.3693,0,3464
全部流水,分桶,2,714063,118904,16.6518,112913,15.8128,283344,32.253,10,9,7091,2042,0.286,0,3571
全部流水,间隔合并,2,653139,143140,21.9157,136827,20.9491,368504,41.9468,17,13,7989,3292,0.504,1,3266
全部流水,分桶,5,652944,153789,23.5532,146138,22.3814,379348,43.1812,17,11,7814,3080,0.4717,0,3265
全部流水,间隔合并,5,580376,182627,31.467,174223,30.019,480754,54.7242,26,14,8512,4459,0.7683,7,2902
全部流水,分桶,10,598269,182535,30.5105,173847,29.0583,462769,52.677,17,11,8303,4001,0.6688,3,2992
全部流水,间隔合并,10,511096,201843,39.4922,193622,37.8837,569250,64.7977,52,26,9099,5745,1.1241,10,2556
仅销售流水,分桶,1,756529,96589,12.7674,90581,11.9732,218102,24.8396,9,8,6284,1259,0.1664,0,3783
仅销售流水,间隔合并,1,692286,122239,17.6573,116684,16.8549,307995,35.0775,17,11,7534,2557,0.3694,0,3462
仅销售流水,分桶,2,713614,118895,16.661,112905,15.8216,283323,32.2676,10,9,7091,2042,0.2861,0,3569
仅销售流水,间隔合并,2,652697,143129,21.9289,136817,20.9618,368474,41.9654,17,13,7989,3291,0.5042,1,3264
仅销售流水,分桶,5,652513,153767,23.5654,146117,22.393,379296,43.1979,17,11,7814,3080,0.472,0,3263
仅销售流水,间隔合并,5,579980,182582,31.4807,174183,30.0326,480644,54.7404,26,14,8512,4456,0.7683,7,2900
仅销售流水,分桶,10,597879,182481,30.5214,173795,29.0686,462644,52.6904,17,11,8303,4000,0.669,3,2990
仅销售流水,间隔合并,10,510778,201761,39.5007,193545,37.8922,569025,64.8061,52,26,9099,5740,1.1238,10,2554
