样本,伪篮方法,窗口秒,篮内行数,篮数,占比_%
全部流水,分桶,1,1,660390,87.2397
全部流水,分桶,1,2,76826,10.149
全部流水,分桶,1,3,15709,2.0752
全部流水,分桶,1,4,3216,0.4248
全部流水,分桶,1,5,645,0.0852
全部流水,分桶,1,6,146,0.0193
全部流水,分桶,1,7,42,0.0055
全部流水,分桶,1,8,6,0.0008
全部流水,分桶,1,9,3,0.0004
全部流水,间隔合并,1,1,570492,82.3533
全部流水,间隔合并,1,2,81175,11.718
全部流水,间隔合并,1,3,26722,3.8575
全部流水,间隔合并,1,4,9349,1.3496
全部流水,间隔合并,1,5,3221,0.465
全部流水,间隔合并,1,6,1050,0.1516
全部流水,间隔合并,1,7,413,0.0596
全部流水,间隔合并,1,8,165,0.0238
全部流水,间隔合并,1,9,86,0.0124
全部流水,间隔合并,1,10,28,0.004
全部流水,间隔合并,1,11,21,0.003
全部流水,间隔合并,1,12,7,0.001
全部流水,间隔合并,1,13,3,0.0004
全部流水,间隔合并,1,14,2,0.0003
全部流水,间隔合并,1,15,2,0.0003
全部流水,间隔合并,1,17,1,0.0001
全部流水,分桶,2,1,595159,83.3482
全部流水,分桶,2,2,85828,12.0197
全部流水,分桶,2,3,23980,3.3582
全部流水,分桶,2,4,6682,0.9358
全部流水,分桶,2,5,1761,0.2466
全部流水,分桶,2,6,447,0.0626
全部流水,分桶,2,7,138,0.0193
全部流水,分桶,2,8,47,0.0066
全部流水,分桶,2,9,19,0.0027
全部流水,分桶,2,10,2,0.0003
全部流水,间隔合并,2,1,509999,78.0843
全部流水,间隔合并,2,2,92081,14.0982
全部流水,间隔合并,2,3,31996,4.8988
全部流水,间隔合并,2,4,11903,1.8224
全部流水,间隔合并,2,5,4422,0.677
全部流水,间隔合并,2,6,1586,0.2428
全部流水,间隔合并,2,7,621,0.0951
全部流水,间隔合并,2,8,263,0.0403
全部流水,间隔合并,2,9,142,0.0217
全部流水,间隔合并,2,10,57,0.0087
全部流水,间隔合并,2,11,42,0.0064
全部流水,间隔合并,2,12,12,0.0018
全部流水,间隔合并,2,13,7,0.0011
全部流水,间隔合并,2,14,3,0.0005
全部流水,间隔合并,2,15,3,0.0005
全部流水,间隔合并,2,16,1,0.0002
全部流水,间隔合并,2,17,1,0.0002
全部流水,分桶,5,1,499155,76.4468
全部流水,分桶,5,2,106606,16.327
全部流水,分桶,5,3,31102,4.7633
全部流水,分桶,5,4,10654,1.6317
全部流水,分桶,5,5,3540,0.5422
全部流水,分桶,5,6,1186,0.1816
全部流水,分桶,5,7,429,0.0657
全部流水,分桶,5,8,150,0.023
全部流水,分桶,5,9,68,0.0104
全部流水,分桶,5,10,26,0.004
全部流水,分桶,5,11,20,0.0031
全部流水,分桶,5,12,5,0.0008
全部流水,分桶,5,13,2,0.0003
全部流水,分桶,5,17,1,0.0002
全部流水,间隔合并,5,1,397749,68.533
全部流水,间隔合并,5,2,114561,19.7391
全部流水,间隔合并,5,3,40899,7.047
全部流水,间隔合并,5,4,15948,2.7479
全部流水,间隔合并,5,5,6483,1.117
全部流水,间隔合并,5,6,2631,0.4533
全部流水,间隔合并,5,7,1084,0.1868
全部流水,间隔合并,5,8,487,0.0839
全部流水,间隔合并,5,9,252,0.0434
全部流水,间隔合并,5,10,124,0.0214
全部流水,间隔合并,5,11,72,0.0124
全部流水,间隔合并,5,12,39,0.0067
全部流水,间隔合并,5,13,16,0.0028
全部流水,间隔合并,5,14,12,0.0021
全部流水,间隔合并,5,15,11,0.0019
全部流水,间隔合并,5,16,1,0.0002
全部流水,间隔合并,5,17,3,0.0005
全部流水,间隔合并,5,18,1,0.0002
全部流水,间隔合并,5,19,2,0.0003
全部流水,间隔合并,5,26,1,0.0002
全部流水,分桶,10,1,415734,69.4895
全部流水,分桶,10,2,121071,20.2369
全部流水,分桶,10,3,39019,6.522
全部流水,分桶,10,4,14077,2.353
全部流水,分桶,10,5,5233,0.8747
全部流水,分桶,10,6,1879,0.3141
全部流水,分桶,10,7,716,0.1197
全部流水,分桶,10,8,291,0.0486
全部流水,分桶,10,9,127,0.0212
全部流水,分桶,10,10,57,0.0095
全部流水,分桶,10,11,38,0.0064
全部流水,分桶,10,12,11,0.0018
全部流水,分桶,10,13,9,0.0015
全部流水,分桶,10,14,4,0.0007
全部流水,分桶,10,15,2,0.0003
全部流水,分桶,10,17,1,0.0002
全部流水,间隔合并,10,1,309253,60.5078
全部流水,间隔合并,10,2,114692,22.4404
全部流水,间隔合并,10,3,47658,9.3247
全部流水,间隔合并,10,4,20765,4.0628
全部流水,间隔合并,10,5,9546,1.8678
全部流水,间隔合并,10,6,4510,0.8824
全部流水,间隔合并,10,7,2145,0.4197
全部流水,间隔合并,10,8,1097,0.2146
全部流水,间隔合并,10,9,621,0.1215
全部流水,间隔合并,10,10,319,0.0624
全部流水,间隔合并,10,11,193,0.0378
全部流水,间隔合并,10,12,93,0.0182
全部流水,间隔合并,10,13,53,0.0104
全部流水,间隔合并,10,14,53,0.0104
全部流水,间隔合并,10,15,29,0.0057
全部流水,间隔合并,10,16,15,0.0029
全部流水,间隔合并,10,17,11,0.0022
全部流水,间隔合并,10,18,13,0.0025
全部流水,间隔合并,10,19,7,0.0014
全部流水,间隔合并,10,20,3,0.0006
全部流水,间隔合并,10,21,5,0.001
全部流水,间隔合并,10,22,1,0.0002
全部流水,间隔合并,10,23,3,0.0006
全部流水,间隔合并,10,24,4,0.0008
全部流水,间隔合并,10,25,2,0.0004
全部流水,间隔合并,10,26,1,0.0002
全部流水,间隔合并,10,30,2,0.0004
全部流水,间隔合并,10,33,1,0.0002
全部流水,间隔合并,10,52,1,0.0002
仅销售流水,分桶,1,1,659940,87.2326
仅销售流水,分桶,1,2,76824,10.1548
仅销售流水,分桶,1,3,15708,2.0763
仅销售流水,分桶,1,4,3215,0.425
仅销售流水,分桶,1,5,645,0.0853
仅销售流水,分桶,1,6,146,0.0193
仅销售流水,分桶,1,7,42,0.0056
仅销售流水,分桶,1,8,6,0.0008
仅销售流水,分桶,1,9,3,0.0004
仅销售流水,间隔合并,1,1,570047,82.3427
仅销售流水,间隔合并,1,2,81170,11.7249
仅销售流水,间隔合并,1,3,26721,3.8598
仅销售流水,间隔合并,1,4,9352,1.3509
仅销售流水,间隔合并,1,5,3218,0.4648
仅销售流水,间隔合并,1,6,1050,0.1517
仅销售流水,间隔合并,1,7,413,0.0597
仅销售流水,间隔合并,1,8,165,0.0238
仅销售流水,间隔合并,1,9,86,0.0124
仅销售流水,间隔合并,1,10,28,0.004
仅销售流水,间隔合并,1,11,21,0.003
仅销售流水,间隔合并,1,12,7,0.001
仅销售流水,间隔合并,1,13,3,0.0004
仅销售流水,间隔合并,1,14,2,0.0003
仅销售流水,间隔合并,1,15,2,0.0003
仅销售流水,间隔合并,1,17,1,0.0001
仅销售流水,分桶,2,1,594719,83.339
仅销售流水,分桶,2,2,85820,12.0261
仅销售流水,分桶,2,3,23979,3.3602
仅销售流水,分桶,2,4,6684,0.9366
仅销售流水,分桶,2,5,1759,0.2465
仅销售流水,分桶,2,6,447,0.0626
仅销售流水,分桶,2,7,138,0.0193
仅销售流水,分桶,2,8,47,0.0066
仅销售流水,分桶,2,9,19,0.0027
仅销售流水,分桶,2,10,2,0.0003
仅销售流水,间隔合并,2,1,509568,78.0711
仅销售流水,间隔合并,2,2,92072,14.1064
仅销售流水,间隔合并,2,3,31996,4.9021
仅销售流水,间隔合并,2,4,11905,1.824
仅销售流水,间隔合并,2,5,4418,0.6769
仅销售流水,间隔合并,2,6,1586,0.243
仅销售流水,间隔合并,2,7,621,0.0951
仅销售流水,间隔合并,2,8,263,0.0403
仅销售流水,间隔合并,2,9,142,0.0218
仅销售流水,间隔合并,2,10,57,0.0087
仅销售流水,间隔合并,2,11,42,0.0064
仅销售流水,间隔合并,2,12,12,0.0018
仅销售流水,间隔合并,2,13,7,0.0011
仅销售流水,间隔合并,2,14,3,0.0005
仅销售流水,间隔合并,2,15,3,0.0005
仅销售流水,间隔合并,2,16,1,0.0002
仅销售流水,间隔合并,2,17,1,0.0002
仅销售流水,分桶,5,1,498746,76.4346
仅销售流水,分桶,5,2,106586,16.3347
仅销售流水,分桶,5,3,31104,4.7668
仅销售流水,分桶,5,4,10652,1.6325
仅销售流水,分桶,5,5,3538,0.5422
仅销售流水,分桶,5,6,1186,0.1818
仅销售流水,分桶,5,7,429,0.0657
仅销售流水,分桶,5,8,150,0.023
仅销售流水,分桶,5,9,68,0.0104
仅销售流水,分桶,5,10,26,0.004
仅销售流水,分桶,5,11,20,0.0031
仅销售流水,分桶,5,12,5,0.0008
仅销售流水,分桶,5,13,2,0.0003
仅销售流水,分桶,5,17,1,0.0002
仅销售流水,间隔合并,5,1,397398,68.5193
仅销售流水,间隔合并,5,2,114523,19.746
仅销售流水,间隔合并,5,3,40899,7.0518
仅销售流水,间隔合并,5,4,15945,2.7492
仅销售流水,间隔合并,5,5,6480,1.1173
仅销售流水,间隔合并,5,6,2631,0.4536
仅销售流水,间隔合并,5,7,1083,0.1867
仅销售流水,间隔合并,5,8,487,0.084
仅销售流水,间隔合并,5,9,252,0.0434
仅销售流水,间隔合并,5,10,124,0.0214
仅销售流水,间隔合并,5,11,72,0.0124
仅销售流水,间隔合并,5,12,39,0.0067
仅销售流水,间隔合并,5,13,16,0.0028
仅销售流水,间隔合并,5,14,12,0.0021
仅销售流水,间隔合并,5,15,11,0.0019
仅销售流水,间隔合并,5,16,1,0.0002
仅销售流水,间隔合并,5,17,3,0.0005
仅销售流水,间隔合并,5,18,1,0.0002
仅销售流水,间隔合并,5,19,2,0.0003
仅销售流水,间隔合并,5,26,1,0.0002
仅销售流水,分桶,10,1,415398,69.4786
仅销售流水,分桶,10,2,121024,20.2422
仅销售流水,分桶,10,3,39018,6.5261
仅销售流水,分桶,10,4,14074,2.354
仅销售流水,分桶,10,5,5231,0.8749
仅销售流水,分桶,10,6,1878,0.3141
仅销售流水,分桶,10,7,716,0.1198
仅销售流水,分桶,10,8,291,0.0487
仅销售流水,分桶,10,9,127,0.0212
仅销售流水,分桶,10,10,57,0.0095
仅销售流水,分桶,10,11,38,0.0064
仅销售流水,分桶,10,12,11,0.0018
仅销售流水,分桶,10,13,9,0.0015
仅销售流水,分桶,10,14,4,0.0007
仅销售流水,分桶,10,15,2,0.0003
仅销售流水,分桶,10,17,1,0.0002
仅销售流水,间隔合并,10,1,309017,60.4993
仅销售流水,间隔合并,10,2,114637,22.4436
仅销售流水,间隔合并,10,3,47649,9.3287
仅销售流水,间隔合并,10,4,20756,4.0636
仅销售流水,间隔合并,10,5,9540,1.8677
仅销售流水,间隔合并,10,6,4511,0.8832
仅销售流水,间隔合并,10,7,2141,0.4192
仅销售流水,间隔合并,10,8,1097,0.2148
仅销售流水,间隔合并,10,9,621,0.1216
仅销售流水,间隔合并,10,10,319,0.0625
仅销售流水,间隔合并,10,11,193,0.0378
仅销售流水,间隔合并,10,12,93,0.0182
仅销售流水,间隔合并,10,13,53,0.0104
仅销售流水,间隔合并,10,14,53,0.0104
仅销售流水,间隔合并,10,15,29,0.0057
仅销售流水,间隔合并,10,16,15,0.0029
仅销售流水,间隔合并,10,17,11,0.0022
仅销售流水,间隔合并,10,18,13,0.0025
仅销售流水,间隔合并,10,19,7,0.0014
仅销售流水,间隔合并,10,20,3,0.0006
仅销售流水,间隔合并,10,21,5,0.001
仅销售流水,间隔合并,10,22,1,0.0002
仅销售流水,间隔合并,10,23,3,0.0006
仅销售流水,间隔合并,10,24,4,0.0008
仅销售流水,间隔合并,10,25,2,0.0004
仅销售流水,间隔合并,10,26,1,0.0002
仅销售流水,间隔合并,10,30,2,0.0004
仅销售流水,间隔合并,10,33,1,0.0002
仅销售流水,间隔合并,10,52,1,0.0002
