销售日期,分类编码,分类名称,净销量,售出量,销售额,打折销量,正常销量,售出记录数,退货记录数,在售单品数,均价,平均损耗率,批发价均值,批发价加权,加价率
2020-07-01,1011010101,花叶类,205.402,205.402,1503.7896,13.685,191.717,445,0,16,7.321202325196444,12.83,8.192876331126145,4.828037458252597,0.5163930248060242
2020-07-01,1011010201,花菜类,47.512,47.076,598.634,0.0,47.076,103,0,2,12.716331039170703,15.51,7.964822140822141,8.408451865069251,0.5123272682332198
2020-07-01,1011010402,水生根茎类,4.85,4.85,70.2838,0.0,4.85,15,0,2,14.491505154639176,13.65,7.746195026037954,9.234160824742268,0.5693364486148251
2020-07-01,1011010501,茄类,35.374,35.374,176.818,0.0,35.374,60,0,2,4.998529993780743,6.68,5.201967804180148,4.091376434669531,0.2217233182026881
2020-07-01,1011010504,辣椒类,76.715,76.715,759.9902,0.0,76.715,259,0,9,9.9066701427361,9.24,6.239267015141655,5.319110343479111,0.8624674998293735
2020-07-01,1011010801,食用菌,35.365,35.365,368.602,0.195,35.17,120,0,5,10.422790894952636,9.45,8.370130665782211,6.5019485366888174,0.603025744688614
2020-07-02,1011010101,花叶类,198.362,198.362,1409.6647,19.362000000000002,179.0,423,0,16,7.106525947510108,12.83,8.20109671739224,4.162575241225638,0.7072426408363603
2020-07-02,1011010201,花菜类,43.943,43.943,546.032,0.0,43.943,95,0,2,12.4259153903921,15.51,7.796822140822141,7.835918803905059,0.5857636738399585
2020-07-02,1011010402,水生根茎类,4.6,4.6,53.1208,0.0,4.6,14,0,2,11.548000000000002,13.65,7.757773973406375,7.093747826086957,0.6279123931545356
2020-07-02,1011010501,茄类,32.199,32.199,172.092,0.0,32.199,56,0,2,5.344638032237027,6.68,4.900967804180148,2.472960650951893,1.161230519450347
2020-07-02,1011010504,辣椒类,66.064,66.064,669.7044,0.0,66.064,226,0,10,10.137206345362074,9.24,6.188556148230789,5.704405273674013,0.7770838253981638
2020-07-02,1011010801,食用菌,48.51,48.51,605.929,0.0,48.51,160,0,5,12.490806019377448,9.45,8.366102888004432,7.312903937332508,0.7080500614279446
2020-07-03,1011010101,花叶类,192.779,191.779,1406.4065,6.832,184.947,406,0,16,7.333474989440972,12.83,8.20109671739224,4.389518977573144,0.6706785018834724
2020-07-03,1011010201,花菜类,42.076,42.076,495.368,0.0,42.076,96,0,2,11.773172354786576,15.51,7.668822140822141,7.426066165985359,0.5853847907675358
2020-07-03,1011010402,水生根茎类,9.572000000000001,9.572000000000001,76.693,5.162,4.41,30,0,1,8.012223150856665,13.65,7.7498792365642695,5.61,0.42820377020617895
