销售日期,分类编码,分类名称,净销量,售出量,销售额,打折销量,正常销量,售出记录数,退货记录数,在售单品数,均价,平均损耗率
2020-07-01,1011010101,花叶类,205.402,205.402,1503.7896,13.685,191.717,445,0,16,7.321202325196444,12.83
2020-07-01,1011010201,花菜类,47.512,47.076,598.634,0.0,47.076,103,0,2,12.716331039170703,15.51
2020-07-01,1011010402,水生根茎类,4.85,4.85,70.2838,0.0,4.85,15,0,2,14.491505154639176,13.65
2020-07-01,1011010501,茄类,35.374,35.374,176.818,0.0,35.374,60,0,2,4.998529993780743,6.68
2020-07-01,1011010504,辣椒类,76.715,76.715,759.9902,0.0,76.715,259,0,9,9.9066701427361,9.24
2020-07-01,1011010801,食用菌,35.365,35.365,368.602,0.195,35.17,120,0,5,10.422790894952636,9.45
2020-07-02,1011010101,花叶类,198.362,198.362,1409.6647,19.362000000000002,179.0,423,0,16,7.106525947510108,12.83
2020-07-02,1011010201,花菜类,43.943,43.943,546.032,0.0,43.943,95,0,2,12.4259153903921,15.51
2020-07-02,1011010402,水生根茎类,4.6,4.6,53.1208,0.0,4.6,14,0,2,11.548000000000002,13.65
2020-07-02,1011010501,茄类,32.199,32.199,172.092,0.0,32.199,56,0,2,5.344638032237027,6.68
2020-07-02,1011010504,辣椒类,66.064,66.064,669.7044,0.0,66.064,226,0,10,10.137206345362074,9.24
2020-07-02,1011010801,食用菌,48.51,48.51,605.929,0.0,48.51,160,0,5,12.490806019377448,9.45
2020-07-03,1011010101,花叶类,192.779,191.779,1406.4065,6.832,184.947,406,0,16,7.333474989440972,12.83
2020-07-03,1011010201,花菜类,42.076,42.076,495.368,0.0,42.076,96,0,2,11.773172354786576,15.51
2020-07-03,1011010402,水生根茎类,9.572000000000001,9.572000000000001,76.693,5.162,4.41,30,0,1,8.012223150856665,13.65
2020-07-03,1011010501,茄类,35.896,35.896,196.243,0.0,35.896,57,0,2,5.466987965232895,6.68
2020-07-03,1011010504,辣椒类,64.253,64.253,670.6646,0.0,64.253,227,0,10,10.43787216161113,9.24
2020-07-03,1011010801,食用菌,42.442,42.442,546.295,0.0,42.442,149,0,5,12.871565901701144,9.45
2020-07-04,1011010101,花叶类,236.587,236.587,1841.4,2.0140000000000002,234.573,526,0,13,7.783183353269623,12.83
2020-07-04,1011010201,花菜类,55.662,55.662,702.186,0.0,55.662,126,0,2,12.615177320254393,15.51
2020-07-04,1011010402,水生根茎类,5.439,5.439,118.7532,0.0,5.439,16,0,2,21.83364589078875,13.65
2020-07-04,1011010501,茄类,57.067,57.067,327.403,0.0,57.067,99,0,2,5.7371685913049575,6.68
2020-07-04,1011010504,辣椒类,81.282,81.282,826.4166,0.444,80.838,293,0,10,10.167276887871854,9.24
2020-07-04,1011010801,食用菌,47.262,47.262,578.7036,0.438,46.824,171,0,5,12.244585502094708,9.45
2020-07-05,1011010101,花叶类,223.899,223.899,1573.1793,4.253,219.64600000000002,508,0,13,7.026289978963729,12.83
2020-07-05,1011010201,花菜类,55.474,55.474,697.982,0.0,55.474,106,0,2,12.582146591195876,15.51
2020-07-05,1011010402,水生根茎类,4.019,4.019,40.19,0.0,4.019,12,0,1,10.0,13.65
2020-07-05,1011010501,茄类,61.816,61.816,411.3631,0.874,60.942,111,0,3,6.654637957810275,6.68
2020-07-05,1011010504,辣椒类,98.496,98.496,1016.2366,0.465,98.031,352,0,10,10.317541829109812,9.24
2020-07-05,1011010801,食用菌,73.213,73.213,732.6238,0.0,73.213,207,0,5,10.006744703809433,9.45
2020-07-06,1011010101,花叶类,195.74,195.74,1511.5968,12.301,183.439,419,0,14,7.722472667824666,12.83
2020-07-06,1011010201,花菜类,42.721000000000004,42.721000000000004,506.3038,0.444,42.277,86,0,2,11.851403291121462,15.51
2020-07-06,1011010402,水生根茎类,3.089,3.089,30.7757,0.381,2.708,11,0,1,9.962997733894465,13.65
2020-07-06,1011010501,茄类,30.727,30.727,201.412,0.0,30.727,57,0,3,6.554886581833567,6.68
2020-07-06,1011010504,辣椒类,58.682,58.682,645.2908,0.0,58.682,223,0,10,10.996400940663236,9.24
2020-07-06,1011010801,食用菌,40.578,40.578,487.603,1.0,39.578,137,0,6,12.01643747843659,9.45
2020-07-07,1011010101,花叶类,178.052,175.052,1348.709,15.177,159.875,382,0,15,7.704619198866623,12.83
2020-07-07,1011010201,花菜类,45.749,45.749,526.991,0.0,45.749,97,0,2,11.519180747120155,15.51
2020-07-07,1011010402,水生根茎类,3.117,3.117,31.17,0.0,3.117,11,0,1,10.0,13.65
