销售日期,分类编码,分类名称,批发价均值,覆盖单品数,售出量,批发价加权
2020-07-01,1011010101,花叶类,8.192876331126145,100,205.40200000000002,4.828037458252597
2020-07-01,1011010201,花菜类,7.964822140822141,5,47.076,8.408451865069251
2020-07-01,1011010402,水生根茎类,7.746195026037954,19,4.85,9.234160824742268
2020-07-01,1011010501,茄类,5.201967804180148,10,35.374,4.091376434669531
2020-07-01,1011010504,辣椒类,6.239267015141655,45,76.715,5.319110343479111
2020-07-01,1011010801,食用菌,8.370130665782211,72,35.364999999999995,6.5019485366888174
2020-07-02,1011010101,花叶类,8.20109671739224,100,198.362,4.162575241225638
2020-07-02,1011010201,花菜类,7.796822140822141,5,43.943,7.835918803905059
2020-07-02,1011010402,水生根茎类,7.757773973406375,19,4.6,7.093747826086957
2020-07-02,1011010501,茄类,4.900967804180148,10,32.199,2.472960650951893
2020-07-02,1011010504,辣椒类,6.188556148230789,45,66.06400000000001,5.704405273674013
2020-07-02,1011010801,食用菌,8.366102888004432,72,48.510000000000005,7.312903937332508
2020-07-03,1011010101,花叶类,8.20109671739224,100,191.779,4.389518977573144
2020-07-03,1011010201,花菜类,7.668822140822141,5,42.076,7.426066165985359
2020-07-03,1011010402,水生根茎类,7.7498792365642695,19,9.572000000000001,5.61
2020-07-03,1011010501,茄类,5.1869678041801475,10,35.896,3.964099621127702
2020-07-03,1011010504,辣椒类,6.151445037119677,45,64.253,6.253733677804927
2020-07-03,1011010801,食用菌,8.3652695546711,72,42.44199999999999,7.357773667593423
2020-07-04,1011010101,花叶类,8.20679671739224,100,236.587,4.807090372674745
2020-07-04,1011010201,花菜类,7.708822140822141,5,55.662,8.217534763393338
2020-07-04,1011010402,水生根茎类,7.52566871024848,19,5.439,14.01511858797573
2020-07-04,1011010501,茄类,4.974967804180148,10,57.067,3.114950146319239
2020-07-04,1011010504,辣椒类,6.12077837045301,45,81.28200000000001,5.714687261632341
2020-07-04,1011010801,食用菌,8.37638066578221,72,47.262,7.335156785578267
2020-07-05,1011010101,花叶类,8.21899671739224,100,223.899,4.273393271073117
2020-07-05,1011010201,花菜类,7.792822140822141,5,55.474000000000004,8.397157587338214
2020-07-05,1011010402,水生根茎类,7.5261950260379535,19,4.019,5.42
2020-07-05,1011010501,茄类,5.280747146903153,10,61.816,4.021894978646305
2020-07-05,1011010504,辣椒类,6.1761117037863436,45,98.496,6.041138015756985
2020-07-05,1011010801,食用菌,8.378576036152582,72,73.213,5.885503803969241
2020-07-06,1011010101,花叶类,8.19379671739224,100,195.74,4.8642002145703485
2020-07-06,1011010201,花菜类,7.92882214082214,5,42.721000000000004,7.819140937712131
2020-07-06,1011010402,水生根茎类,7.527773973406375,19,3.089,5.449999999999999
2020-07-06,1011010501,茄类,5.023747146903153,10,30.727000000000004,3.3203700328701142
2020-07-06,1011010504,辣椒类,6.202111703786343,45,58.682,6.224900310146212
2020-07-06,1011010801,食用菌,8.37857603615258,72,40.578,7.178352555571984
2020-07-07,1011010101,花叶类,8.18129671739224,100,175.052,4.79319522199118
2020-07-07,1011010201,花菜类,7.832822140822141,5,45.749,7.314270475857396
2020-07-07,1011010402,水生根茎类,7.528300289195849,19,3.117,5.460000000000001
2020-07-07,1011010501,茄类,5.049747146903153,10,32.112,3.2775784753363224
2020-07-07,1011010504,辣椒类,6.234556148230788,45,42.213,6.812150522350934
2020-07-07,1011010801,食用菌,8.410339974003476,72,52.56,6.96486111111111
2020-07-08,1011010101,花叶类,8.19439671739224,100,158.57,4.843609699186479
2020-07-08,1011010201,花菜类,7.784822140822141,5,45.43300000000001,7.34181167873572
2020-07-08,1011010402,水生根茎类,7.697515697847347,19,10.605,8.21244884488449
2020-07-08,1011010501,茄类,5.096747146903153,10,39.67,3.5347244769347115
2020-07-08,1011010504,辣椒类,6.242778370453011,45,65.88,6.454160595021251
2020-07-08,1011010801,食用菌,8.410062196225699,72,43.968,7.607784297671032
2020-07-09,1011010101,花叶类,8.192296717392239,100,187.439,4.544924695500937
2020-07-09,1011010201,花菜类,7.760822140822141,5,41.131,7.550888867277722
2020-07-09,1011010402,水生根茎类,7.697515697847347,19,2.106,5.47
2020-07-09,1011010501,茄类,4.983747146903153,10,25.921,3.898585316924501
2020-07-09,1011010504,辣椒类,6.197667259341899,45,58.86,5.690378015630309
2020-07-09,1011010801,食用菌,8.409506640670141,72,37.837,7.209311520469382
2020-07-10,1011010101,花叶类,8.18620290295925,100,179.833,4.470994033353167
2020-07-10,1011010201,花菜类,7.6168221408221415,5,62.344,6.545884768381881
2020-07-10,1011010402,水生根茎类,7.695936750478926,19,9.025,7.98426592797784
2020-07-10,1011010501,茄类,5.413747146903153,10,37.86,4.636425250924458
2020-07-10,1011010504,辣椒类,6.21188948156412,45,58.936,6.610760825302023
2020-07-10,1011010801,食用菌,8.406833029559031,72,41.429,6.769435902387216
2020-07-11,1011010101,花叶类,8.188102902959251,100,271.12,4.794547801711419
2020-07-11,1011010201,花菜类,7.466822140822141,5,76.564,6.282039731466487
2020-07-11,1011010402,水生根茎类,7.694357803110504,19,8.928,8.411317204301074
2020-07-11,1011010501,茄类,5.413747146903153,10,68.277,3.7996306223179106
2020-07-11,1011010504,辣椒类,6.279222814897455,45,85.93599999999999,7.074474609011357
2020-07-11,1011010801,食用菌,8.408777474003475,72,52.238,7.928451318963208
2020-07-12,1011010101,花叶类,8.19160290295925,100,300.189,4.488165722261641
2020-07-12,1011010201,花菜类,7.30682214082214,5,71.615,6.32656705997347
2020-07-12,1011010402,水生根茎类,7.619094645215769,19,13.994,11.493803773045592
2020-07-12,1011010501,茄类,5.103747146903153,10,81.706,4.2824853743911095
2020-07-12,1011010504,辣椒类,6.279889481564121,45,72.459,6.623485557349674
2020-07-12,1011010801,食用菌,8.405684253664493,72,55.96,7.232089349535382
2020-07-13,1011010101,花叶类,8.18460290295925,100,190.832,4.682125639305777
2020-07-13,1011010201,花菜类,7.23682214082214,5,32.028000000000006,5.749602847508429
2020-07-13,1011010402,水生根茎类,7.618568329426294,19,11.605,8.038965962947007
2020-07-13,1011010501,茄类,5.032747146903153,10,44.379,4.0283665697739925
2020-07-13,1011010504,辣椒类,6.2965561482307875,45,61.24,6.436648758981058
2020-07-13,1011010801,食用菌,8.399156475886715,72,42.113,7.48280388478617
2020-07-14,1011010101,花叶类,8.17050290295925,100,190.59900000000002,4.34060021301266
2020-07-14,1011010201,花菜类,7.06482214082214,5,57.575,5.248857490230134
2020-07-14,1011010402,水生根茎类,7.5575156978473474,19,9.007,7.594595314755192
2020-07-14,1011010501,茄类,5.052747146903153,10,34.747,3.842482516476242
2020-07-14,1011010504,辣椒类,6.303667259341898,45,66.745,6.189588283766573
2020-07-14,1011010801,食用菌,8.389695949570926,72,44.836,6.569703809438845
2020-07-15,1011010101,花叶类,8.16420290295925,100,218.094,4.088843663741323
2020-07-15,1011010201,花菜类,7.038822140822141,5,37.962,5.2916848427374745
2020-07-15,1011010402,水生根茎类,7.5575156978473474,19,10.238000000000001,7.510435631959366
2020-07-15,1011010501,茄类,5.079747146903153,10,38.17,4.082695834424942
2020-07-15,1011010504,辣椒类,6.324778370453011,45,73.35400000000001,6.117863647517517
2020-07-15,1011010801,食用菌,8.397057060682037,72,42.196,6.440664043985213
2020-07-16,1011010101,花叶类,8.162302902959249,100,215.526,4.280146850032015
2020-07-16,1011010201,花菜类,7.024822140822141,5,39.45,5.735707984790874
2020-07-16,1011010402,水生根茎类,7.558568329426295,19,11.354000000000001,7.30329575480007
2020-07-16,1011010501,茄类,5.124747146903153,10,26.586,4.1349868351764085
2020-07-16,1011010504,辣椒类,6.379445037119677,45,72.656,6.389405692578727
2020-07-16,1011010801,食用菌,8.38650951313449,72,53.685,6.810458787370774
2020-07-17,1011010101,花叶类,8.17050290295925,100,201.67000000000002,4.109126295433132
2020-07-17,1011010201,花菜类,7.100822140822141,5,44.198,5.78053441332187
2020-07-17,1011010402,水生根茎类,7.566989382057874,19,10.727,7.298178428265125
2020-07-17,1011010501,茄类,5.117747146903153,10,37.251000000000005,4.571652841534454
2020-07-17,1011010504,辣椒类,6.396111703786343,45,61.025000000000006,6.622583039737813
2020-07-17,1011010801,食用菌,8.392065068690044,72,51.908,7.217681474917161
2020-07-18,1011010101,花叶类,8.163002902959251,100,275.265,4.503703812689591
2020-07-18,1011010201,花菜类,7.104822140822141,5,61.087999999999994,5.8223133839706644
2020-07-18,1011010402,水生根茎类,7.568568329426295,19,10.418,7.548891341908235
2020-07-18,1011010501,茄类,5.066747146903152,10,56.585,3.898665193955995
2020-07-18,1011010504,辣椒类,6.451000592675233,45,85.051,6.6111048664918695
2020-07-18,1011010801,食用菌,8.395676179801155,72,71.884,7.206324773245785
2020-07-19,1011010101,花叶类,8.16270290295925,100,321.164,4.4439764108056945
2020-07-19,1011010201,花菜类,7.140822140822141,5,76.351,5.966778169244673
2020-07-19,1011010402,水生根茎类,7.567515697847347,19,11.123999999999999,7.43235436893204
2020-07-19,1011010501,茄类,5.071747146903153,10,71.772,4.300859388062197
2020-07-19,1011010504,辣椒类,6.391445037119677,45,103.77600000000001,6.5608185900400855
2020-07-19,1011010801,食用菌,8.397203957578933,72,80.322,8.17521911804985
2020-07-20,1011010101,花叶类,8.15320290295925,100,204.99699999999999,4.153171948857788
2020-07-20,1011010201,花菜类,7.160822140822141,5,47.431,4.967849296873354
2020-07-20,1011010402,水生根茎类,7.568042013636822,19,9.548,7.34954335986594
2020-07-20,1011010501,茄类,5.069747146903152,10,33.947,4.396937284590686
2020-07-20,1011010504,辣椒类,6.391445037119677,45,67.35,6.605645731254641
2020-07-20,1011010801,食用菌,8.3988706242456,72,52.617000000000004,6.8095014919132595
2020-07-21,1011010101,花叶类,8.15550290295925,100,214.99,4.462177915251872
2020-07-21,1011010201,花菜类,7.140822140822141,5,49.004999999999995,5.350965207631874
2020-07-21,1011010402,水生根茎类,7.358568329426294,19,12.744,10.006125235404896
2020-07-21,1011010501,茄类,5.102747146903153,10,27.094,4.246234590684284
2020-07-21,1011010504,辣椒类,6.366556148230789,45,56.992999999999995,6.077609530995034
2020-07-21,1011010801,食用菌,8.399565068690045,72,45.905,7.0825764077987134
2020-07-22,1011010101,花叶类,8.15060290295925,100,232.78300000000002,4.206683692537685
2020-07-22,1011010201,花菜类,7.136822140822142,5,53.675,5.592273684210527
2020-07-22,1011010402,水生根茎类,7.3590946452157695,19,11.049999999999999,8.66569411764706
2020-07-22,1011010501,茄类,5.0837471469031525,10,48.247,4.124189068750389
2020-07-22,1011010504,辣椒类,6.342556148230788,45,81.36,5.9572626597836775
2020-07-22,1011010801,食用菌,8.398453957578933,72,66.794,6.642299308321108
2020-07-23,1011010101,花叶类,8.15840290295925,100,200.441,4.1540515662963164
2020-07-23,1011010201,花菜类,7.518822140822141,5,39.425,6.355172606214332
2020-07-23,1011010402,水生根茎类,7.411090673021131,19,30.417,3.5717480356379654
2020-07-23,1011010501,茄类,5.128747146903153,10,44.141999999999996,4.355991572651896
2020-07-23,1011010504,辣椒类,6.370556148230788,45,57.638999999999996,6.502984784607644
2020-07-23,1011010801,食用菌,8.400815068690044,72,56.759,6.482759209993128
2020-07-24,1011010101,花叶类,8.16650290295925,100,176.325,4.545642932085638
2020-07-24,1011010201,花菜类,7.578822140822142,5,38.284000000000006,6.6024838052450106
2020-07-24,1011010402,水生根茎类,7.536880146705342,19,11.739999999999998,9.249458262350938
2020-07-24,1011010501,茄类,5.161747146903153,10,34.97,4.823580211609951
2020-07-24,1011010504,辣椒类,6.419445037119677,45,58.738,6.642362014368891
2020-07-24,1011010801,食用菌,8.396509513134488,72,49.201,6.808140484949492
2020-07-25,1011010101,花叶类,8.17530290295925,100,227.137,4.737772049467943
2020-07-25,1011010201,花菜类,7.682822140822141,5,57.421,6.929751832953101
2020-07-25,1011010402,水生根茎类,7.538985409863237,19,10.424,7.803664620107445
2020-07-25,1011010501,茄类,5.217747146903153,10,61.874,4.6914940039434985
2020-07-25,1011010504,辣椒类,6.4423339260085655,45,94.20600000000002,6.967990361548096
2020-07-25,1011010801,食用菌,8.3951206242456,72,67.013,7.111905749630668
2020-07-26,1011010101,花叶类,8.17640290295925,100,250.825,4.783940795375263
2020-07-26,1011010201,花菜类,7.728822140822141,5,64.119,7.285019105101453
2020-07-26,1011010402,水生根茎类,7.547406462494815,19,12.988,10.575737603942102
2020-07-26,1011010501,茄类,5.243747146903153,10,69.521,4.626420937558435
2020-07-26,1011010504,辣椒类,6.505222814897455,45,102.061,6.848482280204976
2020-07-26,1011010801,食用菌,8.393453957578934,72,71.295,7.358265797040466
2020-07-27,1011010101,花叶类,8.18230290295925,100,198.00900000000001,4.603104454848012
2020-07-27,1011010201,花菜类,7.730822140822141,5,42.876000000000005,7.073823117828154
2020-07-27,1011010402,水生根茎类,7.50530119933692,19,17.265,9.106492325514045
2020-07-27,1011010501,茄类,5.303747146903153,10,36.121,4.809065086791616
2020-07-27,1011010504,辣椒类,6.529667259341899,45,71.402,6.873508585193692
2020-07-27,1011010801,食用菌,8.399426179801155,72,52.777,7.220750895276351
2020-07-28,1011010101,花叶类,8.18200290295925,100,165.443,4.624895885592016
2020-07-28,1011010201,花菜类,7.6988221408221404,5,34.937,6.925682800469416
2020-07-28,1011010402,水生根茎类,7.479511725652711,19,13.959,7.253192205745397
2020-07-28,1011010501,茄类,5.289747146903153,10,40.34,4.978804412493802
2020-07-28,1011010504,辣椒类,6.58877837045301,45,66.001,6.862747382615415
2020-07-28,1011010801,食用菌,8.401926179801157,72,47.728,6.6819648843446195
2020-07-29,1011010101,花叶类,8.18390290295925,100,193.72899999999998,4.66470063852082
2020-07-29,1011010201,花菜类,7.69282214082214,5,42.22,7.489350071056371
2020-07-29,1011010402,水生根茎类,7.479511725652711,19,18.597,7.287741571221165
2020-07-29,1011010501,茄类,5.262747146903154,10,40.777,4.8942207617039015
2020-07-29,1011010504,辣椒类,6.573667259341899,45,82.494,6.805390573859916
2020-07-29,1011010801,食用菌,8.406787290912266,72,54.315,7.073603056245973
2020-07-30,1011010101,花叶类,8.18640290295925,100,201.743,4.614850279811443
2020-07-30,1011010201,花菜类,7.702822140822141,5,38.198,6.496471804806535
2020-07-30,1011010402,水生根茎类,7.517406462494816,19,10.645000000000001,7.382646312822922
2020-07-30,1011010501,茄类,5.258747146903152,10,46.311,4.7999291744941806
2020-07-30,1011010504,辣椒类,6.514797960290782,45,68.219,6.376542165672321
2020-07-30,1011010801,食用菌,8.4063706242456,72,50.774,6.58864379406783
2020-07-31,1011010101,花叶类,8.18720290295925,100,197.166,4.409464157106195
2020-07-31,1011010201,花菜类,7.724822140822141,5,37.549,6.65987429758449
2020-07-31,1011010402,水生根茎类,7.530564357231658,19,19.062,7.519586612107858
2020-07-31,1011010501,茄类,5.247747146903153,10,34.092,4.781426141030154
2020-07-31,1011010504,辣椒类,6.471686849179671,45,41.104,6.683364636045154
2020-07-31,1011010801,食用菌,8.411509513134488,72,45.587,6.658733849562374
2020-08-01,1011010101,花叶类,8.19880290295925,100,229.89,4.5884899299665065
2020-08-01,1011010201,花菜类,7.81282214082214,5,54.361999999999995,7.458768625142563
2020-08-01,1011010402,水生根茎类,7.534248567757973,19,21.432000000000002,7.570720418066442
2020-08-01,1011010501,茄类,5.171747146903153,10,48.80499999999999,4.4196440938428445
2020-08-01,1011010504,辣椒类,6.533909071401893,45,66.15599999999999,6.81567068746599
2020-08-01,1011010801,食用菌,8.410676179801156,72,53.797,7.362882130973846
2020-08-02,1011010101,花叶类,8.25020290295925,100,243.138,4.979678865500251
2020-08-02,1011010201,花菜类,7.862822140822141,5,49.219,7.584032995387959
2020-08-02,1011010402,水生根茎类,7.52951172565271,19,56.153999999999996,7.726564447768637
2020-08-02,1011010501,茄类,5.110747146903153,10,50.893,4.277458393099248
2020-08-02,1011010504,辣椒类,6.421686849179671,45,67.963,6.378277445080411
2020-08-02,1011010801,食用菌,8.410259513134488,72,54.961,6.432346209130111
2020-08-03,1011010101,花叶类,8.25780290295925,100,207.843,4.81632395606299
2020-08-03,1011010201,花菜类,7.726822140822141,5,44.426,7.08276864898933
2020-08-03,1011010402,水生根茎类,7.5189854098632365,19,15.555000000000001,8.151981356477016
2020-08-03,1011010501,茄类,5.029747146903153,10,45.191,3.828926777455688
2020-08-03,1011010504,辣椒类,6.336131293624116,45,86.474,6.117907694798436
2020-08-03,1011010801,食用菌,8.412203957578933,72,48.575,7.298326505404014
2020-08-04,1011010101,花叶类,8.21955290295925,100,180.012,4.268836466457792
2020-08-04,1011010201,花菜类,7.630822140822142,5,44.534000000000006,6.714342075717428
2020-08-04,1011010402,水生根茎类,7.493722251968499,19,26.208,7.904755799755801
2020-08-04,1011010501,茄类,4.973747146903153,10,30.591,3.832533751757053
2020-08-04,1011010504,辣椒类,6.320131293624115,45,73.36500000000001,6.084101683364002
2020-08-04,1011010801,食用菌,8.4176206242456,72,45.301,7.3882550054082685
2020-08-05,1011010101,花叶类,8.23805290295925,100,244.39499999999998,4.602231715051454
