单品A编码,单品A名称,单品B编码,单品B名称,相关系数,p值,FDR_q值,符号,是否稳健边
102900005115250,西峡花菇(1),102900005116530,西峡香菇(1),-0.4528,0.0,0.0,负,是
102900005115779,云南生菜,102900005115793,小白菜,0.415,0.0,0.0,正,否
102900005115779,云南生菜,102900005115823,上海青,0.5179,0.0,0.0,正,是
102900005115779,云南生菜,102900005115908,菜心,0.4793,0.0,0.0,正,否
102900005115779,云南生菜,102900005115960,大白菜,0.4209,0.0,0.0,正,否
102900005115779,云南生菜,102900005115984,云南油麦菜,0.6422,0.0,0.0,正,是
102900005115779,云南生菜,102900005116226,青尖椒,0.5229,0.0,0.0,正,否
102900005115779,云南生菜,102900005116233,红椒(1),0.5424,0.0,0.0,正,是
102900005115779,云南生菜,102900005116547,金针菇(1),0.4851,0.0,0.0,正,否
102900005115779,云南生菜,102900005116790,黄心菜(1),0.4177,0.0,0.0,正,否
102900005115779,云南生菜,102900005116912,姬菇(1),0.4478,0.0,0.0,正,否
102900005115779,云南生菜,102900005116943,红杭椒,0.558,0.0,0.0,正,否
102900005115779,云南生菜,102900005118817,菠菜,0.4948,0.0,0.0,正,是
102900005115779,云南生菜,102900005119944,海鲜菇(1),0.4454,0.0,0.0,正,否
102900005115779,云南生菜,102900005125808,小米椒,0.5467,0.0,0.0,正,是
102900005115779,云南生菜,102900005125815,杏鲍菇(1),0.4919,0.0,0.0,正,否
102900005115779,云南生菜,102900011000328,螺丝椒,0.4799,0.0,0.0,正,否
102900005115779,云南生菜,102900011001806,姬菇(包),0.4226,0.0,0.0,正,是
102900005115779,云南生菜,102900011009970,青梗散花,0.447,0.0,0.0,正,否
102900005115779,云南生菜,102900011030059,云南生菜(份),-0.6807,0.0,0.0,负,否
102900005115779,云南生菜,102900011030097,云南油麦菜(份),-0.6608,0.0,0.0,负,否
102900005115779,云南生菜,102900011030110,菠菜(份),-0.6039,0.0,0.0,负,否
102900005115779,云南生菜,102900011030141,上海青(份),-0.4203,0.0,0.0,负,否
102900005115779,云南生菜,102900011031100,小米椒(份),-0.6192,0.0,0.0,负,否
102900005115779,云南生菜,102900011032022,小皱皮(份),-0.6107,0.0,0.0,负,否
102900005115779,云南生菜,102900011032237,青线椒(份),-0.4732,0.0,0.0,负,否
102900005115779,云南生菜,102900011032251,螺丝椒(份),-0.5672,0.0,0.0,负,否
102900005115779,云南生菜,102900011032343,七彩椒(2),-0.5002,0.0,0.0,负,否
