分类编码,分类名称,分布,参数,负对数似然,AIC,BIC,是否最优
1011010101,花叶类,lognorm,"s=0.4510, loc=0.0000, scale=166.1101",6222.756,12449.513,12459.492,否
1011010101,花叶类,gamma,"a=5.2599, loc=0.0000, scale=34.8338",6220.456,12444.912,12454.891,是
1011010201,花菜类,lognorm,"s=0.6384, loc=0.0000, scale=32.3385",4819.822,9643.644,9653.621,否
1011010201,花菜类,gamma,"a=2.9925, loc=0.0000, scale=12.8900",4772.252,9548.503,9558.48,是
1011010402,水生根茎类,lognorm,"s=0.8827, loc=0.0000, scale=26.7790",4971.187,9946.374,9956.353,否
1011010402,水生根茎类,gamma,"a=1.6376, loc=0.0000, scale=22.8694",4947.06,9898.119,9908.098,是
1011010501,茄类,lognorm,"s=0.6597, loc=0.0000, scale=17.7064",4070.789,8145.578,8155.491,否
1011010501,茄类,gamma,"a=2.8055, loc=0.0000, scale=7.6219",4027.806,8059.611,8069.525,是
1011010504,辣椒类,lognorm,"s=0.5365, loc=0.0000, scale=72.8523",5516.944,11037.887,11047.866,是
1011010504,辣椒类,gamma,"a=3.5244, loc=0.0000, scale=23.9809",5560.153,11124.305,11134.284,否
1011010801,食用菌,lognorm,"s=0.6123, loc=0.0000, scale=58.3107",5418.76,10841.52,10851.499,是
1011010801,食用菌,gamma,"a=2.8484, loc=0.0000, scale=24.6489",5446.056,10896.112,10906.091,否
