单品编码,单品名称,分类名称,有效销售天数,售出概率,分布,参数,AIC,是否最优
102900005115168,牛首生菜,花叶类,102,0.0931,gamma,"a=2.9377, loc=0.0000, scale=3.0030",602.521,是
102900005115199,四川红香椿,花叶类,151,0.1378,lognorm,"s=0.8972, loc=0.0000, scale=1.5160",525.416,是
102900005115250,西峡花菇(1),食用菌,297,0.271,gamma,"a=1.3354, loc=0.0000, scale=7.1021",1920.143,是
102900005115748,白菜苔,花叶类,92,0.0839,gamma,"a=1.5755, loc=0.0000, scale=4.9583",556.151,是
102900005115762,苋菜,花叶类,635,0.5794,gamma,"a=2.0313, loc=0.0000, scale=3.9579",3768.197,是
102900005115779,云南生菜,花叶类,810,0.7391,gamma,"a=1.8027, loc=0.0000, scale=10.9032",6307.534,是
102900005115786,竹叶菜,花叶类,667,0.6086,gamma,"a=1.3954, loc=0.0000, scale=7.7927",4480.151,是
102900005115793,小白菜,花叶类,478,0.4361,gamma,"a=1.6812, loc=0.0000, scale=2.1291",2112.465,是
102900005115823,上海青,花叶类,919,0.8385,gamma,"a=1.7247, loc=0.0000, scale=4.8013",5587.777,是
102900005115854,萝卜叶,花叶类,164,0.1496,lognorm,"s=0.8176, loc=0.0000, scale=1.8666",608.078,是
102900005115861,牛首油菜,花叶类,285,0.26,gamma,"a=2.2011, loc=0.0000, scale=6.1275",1974.446,是
102900005115878,茼蒿,花叶类,514,0.469,gamma,"a=2.4419, loc=0.0000, scale=3.2796",2987.326,是
102900005115885,蔡甸藜蒿,花叶类,303,0.2765,lognorm,"s=0.8538, loc=0.0000, scale=2.2330",1254.905,是
102900005115908,菜心,花叶类,711,0.6487,gamma,"a=1.5319, loc=0.0000, scale=4.1312",3980.282,是
102900005115946,木耳菜,花叶类,421,0.3841,gamma,"a=2.7249, loc=0.0000, scale=1.3671",1771.275,是
102900005115960,大白菜,花叶类,480,0.438,lognorm,"s=0.8945, loc=0.0000, scale=27.2908",4433.441,是
102900005115984,云南油麦菜,花叶类,782,0.7135,gamma,"a=1.5613, loc=0.0000, scale=8.4468",5519.366,是
102900005116219,红尖椒,辣椒类,314,0.2865,gamma,"a=1.6544, loc=0.0000, scale=0.8480",803.261,是
102900005116226,青尖椒,辣椒类,617,0.563,gamma,"a=1.7985, loc=0.0000, scale=1.0709",1939.874,是
102900005116233,红椒(1),辣椒类,755,0.6889,lognorm,"s=0.8091, loc=0.0000, scale=2.8992",3434.083,是
102900005116257,紫茄子(2),茄类,1022,0.9325,gamma,"a=2.6291, loc=0.0000, scale=5.0674",6924.659,是
102900005116509,青茄子(1),茄类,845,0.771,lognorm,"s=0.9684, loc=0.0000, scale=2.6842",4016.486,是
102900005116530,西峡香菇(1),食用菌,821,0.7491,gamma,"a=1.6762, loc=0.0000, scale=8.6750",5928.254,是
102900005116547,金针菇(1),食用菌,448,0.4088,gamma,"a=2.8433, loc=0.0000, scale=3.6916",2799.154,是
102900005116639,马齿苋,花叶类,93,0.0849,lognorm,"s=0.7264, loc=0.0000, scale=0.7968",166.239,是
102900005116714,西兰花,花菜类,1076,0.9818,gamma,"a=3.0607, loc=0.0000, scale=8.3729",8580.105,是
102900005116790,黄心菜(1),花叶类,447,0.4078,lognorm,"s=0.8221, loc=0.0000, scale=4.6755",2476.208,是
102900005116837,平菇,食用菌,362,0.3303,gamma,"a=1.9453, loc=0.0000, scale=3.6127",2061.512,是
102900005116899,净藕(1),水生根茎类,1057,0.9644,gamma,"a=1.3944, loc=0.0000, scale=18.4437",8917.344,是
102900005116912,姬菇(1),食用菌,308,0.281,gamma,"a=3.6246, loc=0.0000, scale=0.3361",542.383,是
102900005116943,红杭椒,辣椒类,588,0.5365,lognorm,"s=0.8826, loc=0.0000, scale=0.7863",1243.011,是
102900005117056,泡泡椒(精品),辣椒类,228,0.208,gamma,"a=3.5369, loc=0.0000, scale=12.0421",2027.672,是
102900005117209,七彩椒(1),辣椒类,284,0.2591,lognorm,"s=0.8648, loc=0.0000, scale=0.6009",438.203,是
102900005118572,本地上海青,花叶类,61,0.0557,gamma,"a=2.3393, loc=0.0000, scale=4.1815",384.185,是
102900005118817,菠菜,花叶类,730,0.6661,lognorm,"s=0.7328, loc=0.0000, scale=5.5797",4131.772,是
102900005118824,高瓜(1),水生根茎类,544,0.4964,gamma,"a=2.0063, loc=0.0000, scale=1.0814",1807.572,是
102900005118831,娃娃菜,花叶类,688,0.6277,lognorm,"s=0.8358, loc=0.0000, scale=9.0830",4745.723,是
102900005119098,双孢菇,食用菌,224,0.2044,gamma,"a=3.6763, loc=0.0000, scale=0.7631",766.702,是
102900005119944,海鲜菇(1),食用菌,326,0.2974,gamma,"a=3.2801, loc=0.0000, scale=0.4703",753.007,是
102900005119968,青杭椒(2),辣椒类,90,0.0821,gamma,"a=1.6399, loc=0.0000, scale=0.8707",236.61,是
102900005119975,红薯尖,花叶类,567,0.5173,gamma,"a=1.5161, loc=0.0000, scale=6.0061",3590.0,是
