分类编码,分类名称,月份,平均日销量
1011010101,花叶类,1,192.052
1011010101,花叶类,2,173.587
1011010101,花叶类,3,149.836
1011010101,花叶类,4,150.677
1011010101,花叶类,5,151.685
1011010101,花叶类,6,147.784
1011010101,花叶类,7,187.372
1011010101,花叶类,8,263.722
1011010101,花叶类,9,208.364
1011010101,花叶类,10,207.166
1011010101,花叶类,11,166.188
1011010101,花叶类,12,177.692
1011010201,花菜类,1,44.136
1011010201,花菜类,2,40.924
1011010201,花菜类,3,27.763
1011010201,花菜类,4,28.155
1011010201,花菜类,5,29.085
1011010201,花菜类,6,27.722
1011010201,花菜类,7,48.103
1011010201,花菜类,8,52.982
1011010201,花菜类,9,39.999
1011010201,花菜类,10,42.13
1011010201,花菜类,11,43.195
1011010201,花菜类,12,33.855
1011010402,水生根茎类,1,65.53
1011010402,水生根茎类,2,48.446
1011010402,水生根茎类,3,27.069
1011010402,水生根茎类,4,15.529
1011010402,水生根茎类,5,9.545
1011010402,水生根茎类,6,13.319
1011010402,水生根茎类,7,29.47
1011010402,水生根茎类,8,48.48
1011010402,水生根茎类,9,41.963
1011010402,水生根茎类,10,53.139
1011010402,水生根茎类,11,39.969
1011010402,水生根茎类,12,52.726
1011010501,茄类,1,19.368
1011010501,茄类,2,22.027
1011010501,茄类,3,16.84
1011010501,茄类,4,20.319
1011010501,茄类,5,26.64
1011010501,茄类,6,28.555
1011010501,茄类,7,31.193
1011010501,茄类,8,29.421
1011010501,茄类,9,16.881
1011010501,茄类,10,15.093
1011010501,茄类,11,10.423
1011010501,茄类,12,9.252
1011010504,辣椒类,1,109.8
1011010504,辣椒类,2,115.314
1011010504,辣椒类,3,95.974
1011010504,辣椒类,4,82.159
1011010504,辣椒类,5,71.183
1011010504,辣椒类,6,66.099
1011010504,辣椒类,7,66.059
1011010504,辣椒类,8,106.316
1011010504,辣椒类,9,75.186
1011010504,辣椒类,10,85.655
1011010504,辣椒类,11,68.504
1011010504,辣椒类,12,64.368
1011010801,食用菌,1,105.7
1011010801,食用菌,2,90.456
1011010801,食用菌,3,61.682
1011010801,食用菌,4,52.051
1011010801,食用菌,5,43.599
1011010801,食用菌,6,43.517
1011010801,食用菌,7,48.564
1011010801,食用菌,8,56.987
1011010801,食用菌,9,56.323
1011010801,食用菌,10,92.01
1011010801,食用菌,11,90.697
1011010801,食用菌,12,94.098
