单品编码,单品名称,度中心度,介数中心度,正边数,负边数
102900005116233,红椒(1),0.38,0.204209,15,4
102900005125808,小米椒,0.36,0.083265,16,2
102900051004294,青线椒,0.32,0.080124,16,0
102900005116943,红杭椒,0.32,0.043848,15,1
102900011001806,姬菇(包),0.3,0.048525,15,0
102900005115960,大白菜,0.3,0.076496,15,0
102900005115984,云南油麦菜,0.26,0.07081,13,0
102900005116837,平菇,0.26,0.090054,12,1
102900011012994,杏鲍菇(袋),0.24,0.045713,12,0
102900005116226,青尖椒,0.24,0.028709,12,0
102900011009970,青梗散花,0.22,0.007801,11,0
102900005116547,金针菇(1),0.2,0.005616,10,0
102900005115823,上海青,0.18,0.010221,9,0
102900005117209,七彩椒(1),0.18,0.003573,9,0
102900011001219,红灯笼椒(1),0.18,0.00552,9,0
102900005123880,灯笼椒(1),0.16,0.01162,8,0
102900011000328,螺丝椒,0.16,0.000694,8,0
102900005115779,云南生菜,0.16,0.057028,8,0
102900005115908,菜心,0.14,0.072386,7,0
102900011031100,小米椒(份),0.14,0.032087,3,4
102900005125815,杏鲍菇(1),0.1,0.005028,5,0
102900011030097,云南油麦菜(份),0.1,0.063673,4,1
102900011030059,云南生菜(份),0.1,0.063673,4,1
102900011030110,菠菜(份),0.1,0.005452,3,2
102900011030141,上海青(份),0.08,0.100408,4,0
102900005118817,菠菜,0.08,0.069442,4,0
102900005115793,小白菜,0.08,0.036051,4,0
102900011022849,本地黄心油菜,0.06,0.035102,3,0
102900005117056,泡泡椒(精品),0.06,0.002659,3,0
102900011008522,甜白菜,0.06,0.000523,3,0
102900005116790,黄心菜(1),0.06,0.002141,3,0
102900005115861,牛首油菜,0.06,0.0,3,0
102900005116530,西峡香菇(1),0.04,0.035102,1,1
102900011008164,奶白菜,0.04,0.035102,2,0
102900005116509,青茄子(1),0.04,0.0,2,0
102900011030134,菜心(份),0.04,0.0,2,0
102900011007969,红莲藕带,0.04,0.000816,2,0
106949711300167,金针菇(袋)(2),0.04,0.000816,2,0
102900051000463,圆茄子(2),0.04,0.0,2,0
102900005119975,红薯尖,0.02,0.0,1,0
106958851400125,海鲜菇(袋)(4),0.02,0.0,1,0
102900005115250,西峡花菇(1),0.02,0.0,0,1
102900011013274,白玉菇(袋),0.02,0.0,1,0
102900051010455,黄白菜(2),0.02,0.0,1,0
102900005116257,紫茄子(2),0.02,0.0,1,0
102900011006689,东门口小白菜,0.02,0.0,1,0
102900051000944,洪湖藕带,0.02,0.0,1,0
102900011021842,洪湖莲藕(粉藕),0.02,0.0,1,0
102900011022764,长线茄,0.02,0.0,1,0
106971533450003,海鲜菇(包),0.02,0.0,1,0
102900011029176,辣妹子,0.02,0.0,1,0
