销售日期,分类编码,分类名称,净销量,趋势,季节,残差
2020-07-01,1011010101,花叶类,205.402,226.148,-29.97,9.224
2020-07-02,1011010101,花叶类,198.362,223.784,-26.655,1.234
2020-07-03,1011010101,花叶类,192.779,221.572,-31.82,3.027
2020-07-04,1011010101,花叶类,236.587,219.491,35.753,-18.658
2020-07-05,1011010101,花叶类,223.899,217.507,106.897,-100.506
2020-07-06,1011010101,花叶类,195.74,215.604,-26.98,7.115
2020-07-07,1011010101,花叶类,178.052,213.729,-33.052,-2.625
2020-07-08,1011010101,花叶类,164.57,212.111,-21.696,-25.845
2020-07-09,1011010101,花叶类,187.439,212.502,-21.894,-3.169
2020-07-10,1011010101,花叶类,179.833,213.788,-30.254,-3.7
2020-07-11,1011010101,花叶类,271.897,215.829,33.845,22.223
2020-07-12,1011010101,花叶类,300.189,218.671,89.091,-7.573
2020-07-13,1011010101,花叶类,190.832,222.319,-23.295,-8.191
2020-07-14,1011010101,花叶类,190.599,226.117,-31.793,-3.725
2020-07-15,1011010101,花叶类,218.746,229.233,-13.912,3.425
2020-07-16,1011010101,花叶类,218.526,231.885,-16.768,3.408
2020-07-17,1011010101,花叶类,207.67,234.102,-28.141,1.709
2020-07-18,1011010101,花叶类,276.265,235.261,31.647,9.357
2020-07-19,1011010101,花叶类,322.537,234.603,70.693,17.241
2020-07-20,1011010101,花叶类,204.997,232.086,-19.664,-7.425
2020-07-21,1011010101,花叶类,214.99,228.259,-30.76,17.491
2020-07-22,1011010101,花叶类,233.156,223.903,-4.692,13.946
2020-07-23,1011010101,花叶类,200.898,219.17,-10.925,-7.347
2020-07-24,1011010101,花叶类,176.325,214.22,-25.247,-12.648
2020-07-25,1011010101,花叶类,227.137,209.79,26.322,-8.975
2020-07-26,1011010101,花叶类,250.825,206.506,53.416,-9.097
2020-07-27,1011010101,花叶类,198.009,204.498,-15.452,8.964
2020-07-28,1011010101,花叶类,165.443,203.968,-28.628,-9.897
2020-07-29,1011010101,花叶类,193.729,204.605,1.71,-12.585
2020-07-30,1011010101,花叶类,201.743,205.782,-6.796,2.757
2020-07-31,1011010101,花叶类,197.166,207.716,-19.913,9.363
2020-08-01,1011010101,花叶类,229.89,210.63,21.893,-2.633
2020-08-02,1011010101,花叶类,243.138,214.045,37.698,-8.604
2020-08-03,1011010101,花叶类,207.843,217.431,-10.579,0.991
2020-08-04,1011010101,花叶类,180.012,219.882,-23.26,-16.611
2020-08-05,1011010101,花叶类,244.395,221.293,-1.405,24.507
2020-08-06,1011010101,花叶类,234.777,222.501,-6.756,19.031
2020-08-07,1011010101,花叶类,204.941,223.474,-15.289,-3.243
2020-08-08,1011010101,花叶类,311.161,223.722,23.079,64.359
2020-08-09,1011010101,花叶类,250.59,223.246,26.884,0.459
2020-08-10,1011010101,花叶类,210.292,222.08,-7.117,-4.671
2020-08-11,1011010101,花叶类,216.713,220.512,-14.12,10.321
2020-08-12,1011010101,花叶类,206.877,219.54,-4.645,-8.019
2020-08-13,1011010101,花叶类,188.208,219.437,-9.547,-21.682
2020-08-14,1011010101,花叶类,217.758,219.92,-18.245,16.083
2020-08-15,1011010101,花叶类,245.136,221.147,26.986,-2.997
2020-08-16,1011010101,花叶类,241.48,222.998,25.338,-6.856
2020-08-17,1011010101,花叶类,215.633,225.269,-1.268,-8.368
2020-08-18,1011010101,花叶类,225.113,227.698,-10.676,8.091
2020-08-19,1011010101,花叶类,214.173,230.203,-9.762,-6.267
2020-08-20,1011010101,花叶类,233.532,232.975,-16.879,17.436
2020-08-21,1011010101,花叶类,207.076,236.094,-22.986,-6.032
2020-08-22,1011010101,花叶类,273.081,237.879,33.307,1.895
2020-08-23,1011010101,花叶类,261.552,237.769,33.78,-9.997
2020-08-24,1011010101,花叶类,260.694,236.547,2.878,21.269
2020-08-25,1011010101,花叶类,343.427,234.895,-13.777,122.31
2020-08-26,1011010101,花叶类,241.686,233.076,-18.885,27.496
2020-08-27,1011010101,花叶类,199.007,231.181,-22.279,-9.894
2020-08-28,1011010101,花叶类,195.032,228.575,-27.56,-5.983
2020-08-29,1011010101,花叶类,267.031,225.04,41.632,0.36
2020-08-30,1011010101,花叶类,266.387,221.238,50.308,-5.159
2020-08-31,1011010101,花叶类,224.882,218.125,1.006,5.75
2020-09-01,1011010101,花叶类,192.683,215.446,-20.254,-2.509
2020-09-02,1011010101,花叶类,179.819,212.58,-23.806,-8.955
2020-09-03,1011010101,花叶类,193.463,208.821,-32.254,16.896
2020-09-04,1011010101,花叶类,176.316,203.929,-30.177,2.564
2020-09-05,1011010101,花叶类,249.559,198.251,46.655,4.654
2020-09-06,1011010101,花叶类,276.429,192.857,69.592,13.98
2020-09-07,1011010101,花叶类,148.221,188.509,0.44,-40.727
2020-09-08,1011010101,花叶类,158.329,185.027,-26.624,-0.074
2020-09-09,1011010101,花叶类,131.492,182.013,-24.636,-25.885
2020-09-10,1011010101,花叶类,119.919,179.798,-36.554,-23.326
2020-09-11,1011010101,花叶类,151.957,178.847,-27.644,0.754
2020-09-12,1011010101,花叶类,232.243,179.465,49.109,3.67
2020-09-13,1011010101,花叶类,263.345,181.083,61.576,20.686
2020-09-14,1011010101,花叶类,175.844,182.786,3.606,-10.548
2020-09-15,1011010101,花叶类,156.048,184.213,-32.073,3.909
2020-09-16,1011010101,花叶类,176.949,184.931,-22.295,14.313
2020-09-17,1011010101,花叶类,143.534,185.246,-33.906,-7.806
2020-09-18,1011010101,花叶类,154.388,185.747,-21.933,-9.426
2020-09-19,1011010101,花叶类,235.874,186.093,47.801,1.98
2020-09-20,1011010101,花叶类,317.998,186.049,39.803,92.146
2020-09-21,1011010101,花叶类,212.997,185.59,24.774,2.633
2020-09-22,1011010101,花叶类,232.243,185.258,-41.421,88.405
2020-09-23,1011010101,花叶类,179.262,185.4,-17.422,11.283
2020-09-24,1011010101,花叶类,162.861,185.609,-18.502,-4.246
2020-09-25,1011010101,花叶类,173.781,185.932,-9.405,-2.746
2020-09-26,1011010101,花叶类,228.616,187.999,50.884,-10.267
2020-09-27,1011010101,花叶类,199.813,192.731,18.622,-11.541
2020-09-28,1011010101,花叶类,114.933,199.238,-4.113,-80.192
2020-09-29,1011010101,花叶类,157.957,205.865,-39.639,-8.269
2020-09-30,1011010101,花叶类,177.129,212.865,-10.794,-24.943
2020-10-01,1011010101,花叶类,248.415,220.657,-1.463,29.221
2020-10-02,1011010101,花叶类,244.124,228.597,-4.487,20.014
2020-10-03,1011010101,花叶类,298.341,235.164,55.235,7.942
2020-10-04,1011010101,花叶类,232.776,240.564,6.807,-14.595
2020-10-05,1011010101,花叶类,294.623,243.74,-16.05,66.933
2020-10-06,1011010101,花叶类,287.635,242.647,-36.301,81.288
2020-10-07,1011010101,花叶类,255.378,239.136,-13.335,29.577
2020-10-08,1011010101,花叶类,252.73,236.08,7.016,9.634
2020-10-09,1011010101,花叶类,162.518,234.422,-2.604,-69.301
2020-10-10,1011010101,花叶类,175.163,230.934,62.772,-118.543
2020-10-11,1011010101,花叶类,238.081,223.135,16.588,-1.642
2020-10-12,1011010101,花叶类,170.212,214.501,-43.704,-0.586
2020-10-13,1011010101,花叶类,178.547,206.827,-25.813,-2.467
2020-10-14,1011010101,花叶类,182.96,201.096,-13.24,-4.896
2020-10-15,1011010101,花叶类,190.238,197.676,-6.111,-1.327
2020-10-16,1011010101,花叶类,170.77,195.399,-4.335,-20.293
2020-10-17,1011010101,花叶类,250.224,193.758,69.937,-13.47
2020-10-18,1011010101,花叶类,226.735,193.694,25.976,7.065
2020-10-19,1011010101,花叶类,152.709,195.153,-37.604,-4.84
2020-10-20,1011010101,花叶类,186.078,196.612,-21.645,11.111
2020-10-21,1011010101,花叶类,168.765,197.337,-18.05,-10.523
2020-10-22,1011010101,花叶类,117.235,197.21,-18.578,-61.397
2020-10-23,1011010101,花叶类,211.914,196.258,-11.536,27.191
2020-10-24,1011010101,花叶类,282.107,194.38,73.799,13.928
2020-10-25,1011010101,花叶类,223.397,191.739,35.094,-3.436
2020-10-26,1011010101,花叶类,158.291,188.09,-30.076,0.276
2020-10-27,1011010101,花叶类,154.566,183.512,-21.101,-7.845
2020-10-28,1011010101,花叶类,167.542,178.776,-23.33,12.095
2020-10-29,1011010101,花叶类,120.551,174.488,-25.817,-28.121
2020-10-30,1011010101,花叶类,148.243,170.65,-14.368,-8.039
2020-10-31,1011010101,花叶类,248.102,167.601,74.802,5.699
2020-11-01,1011010101,花叶类,206.956,165.413,40.753,0.79
2020-11-02,1011010101,花叶类,144.442,164.016,-28.087,8.512
2020-11-03,1011010101,花叶类,135.067,163.243,-17.561,-10.614
2020-11-04,1011010101,花叶类,122.114,163.159,-22.747,-18.297
2020-11-05,1011010101,花叶类,146.327,163.513,-28.945,11.759
2020-11-06,1011010101,花叶类,142.586,164.479,-20.343,-1.55
2020-11-07,1011010101,花叶类,225.007,166.106,64.401,-5.5
2020-11-08,1011010101,花叶类,209.808,168.117,56.283,-14.592
2020-11-09,1011010101,花叶类,144.911,170.243,-37.665,12.333
2020-11-10,1011010101,花叶类,157.962,172.164,-18.594,4.392
2020-11-11,1011010101,花叶类,150.867,174.879,-27.739,3.727
2020-11-12,1011010101,花叶类,151.144,180.396,-25.181,-4.071
2020-11-13,1011010101,花叶类,141.977,187.956,-28.019,-17.959
2020-11-14,1011010101,花叶类,207.145,195.635,86.642,-75.132
2020-11-15,1011010101,花叶类,227.231,203.53,74.78,-51.079
2020-11-16,1011010101,花叶类,140.087,212.238,-52.563,-19.588
2020-11-17,1011010101,花叶类,222.517,222.213,-28.208,28.512
2020-11-18,1011010101,花叶类,203.322,233.509,-34.691,4.503
