分类编码,分类名称,日期,基准需求,需求标准差,参考价
1011010101,花叶类,2023-07-01,203.273,75.756,5.894
1011010101,花叶类,2023-07-02,195.538,72.873,5.894
1011010101,花叶类,2023-07-03,143.198,53.367,5.894
1011010101,花叶类,2023-07-04,139.922,52.146,5.894
1011010101,花叶类,2023-07-05,143.156,53.351,5.894
1011010101,花叶类,2023-07-06,138.997,51.802,5.894
1011010101,花叶类,2023-07-07,151.030,56.286,5.894
1011010201,花菜类,2023-07-01,37.010,21.252,9.952
1011010201,花菜类,2023-07-02,35.029,20.115,9.952
1011010201,花菜类,2023-07-03,23.884,13.715,9.952
1011010201,花菜类,2023-07-04,24.521,14.081,9.952
1011010201,花菜类,2023-07-05,24.327,13.969,9.952
1011010201,花菜类,2023-07-06,23.867,13.705,9.952
1011010201,花菜类,2023-07-07,27.510,15.797,9.952
1011010402,水生根茎类,2023-07-01,49.311,30.371,9.220
1011010402,水生根茎类,2023-07-02,45.329,27.918,9.220
1011010402,水生根茎类,2023-07-03,29.356,18.080,9.220
1011010402,水生根茎类,2023-07-04,29.517,18.180,9.220
1011010402,水生根茎类,2023-07-05,29.050,17.892,9.220
1011010402,水生根茎类,2023-07-06,28.799,17.737,9.220
1011010402,水生根茎类,2023-07-07,35.955,22.145,9.220
1011010501,茄类,2023-07-01,30.870,15.035,8.801
1011010501,茄类,2023-07-02,29.723,14.477,8.801
1011010501,茄类,2023-07-03,22.425,10.922,8.801
1011010501,茄类,2023-07-04,20.738,10.101,8.801
1011010501,茄类,2023-07-05,20.786,10.124,8.801
1011010501,茄类,2023-07-06,21.286,10.368,8.801
1011010501,茄类,2023-07-07,24.175,11.775,8.801
1011010504,辣椒类,2023-07-01,98.512,41.470,8.627
1011010504,辣椒类,2023-07-02,93.441,39.336,8.627
1011010504,辣椒类,2023-07-03,67.300,28.331,8.627
1011010504,辣椒类,2023-07-04,65.526,27.584,8.627
1011010504,辣椒类,2023-07-05,66.217,27.875,8.627
1011010504,辣椒类,2023-07-06,66.001,27.784,8.627
1011010504,辣椒类,2023-07-07,72.834,30.661,8.627
1011010801,食用菌,2023-07-01,63.476,32.652,11.094
1011010801,食用菌,2023-07-02,60.162,30.947,11.094
1011010801,食用菌,2023-07-03,40.130,20.643,11.094
1011010801,食用菌,2023-07-04,38.707,19.911,11.094
1011010801,食用菌,2023-07-05,42.464,21.843,11.094
1011010801,食用菌,2023-07-06,40.701,20.937,11.094
1011010801,食用菌,2023-07-07,48.082,24.733,11.094
