分类编码,分类名称,ln价格,ln销量
1011010101,花叶类,2.0068,5.3250
1011010101,花叶类,1.9487,5.2901
1011010101,花叶类,1.9681,5.2615
1011010101,花叶类,1.9931,5.4663
1011010101,花叶类,1.9582,5.4112
1011010101,花叶类,1.9772,5.2768
1011010101,花叶类,1.9765,5.1821
1011010101,花叶类,1.9761,5.1033
1011010101,花叶类,1.9932,5.2335
1011010101,花叶类,1.9639,5.1920
1011010101,花叶类,1.9626,5.6054
1011010101,花叶类,1.9676,5.7044
1011010101,花叶类,1.9624,5.2514
1011010101,花叶类,1.9712,5.2502
1011010101,花叶类,1.9565,5.3879
1011010101,花叶类,1.9591,5.3869
1011010101,花叶类,1.9296,5.3360
1011010101,花叶类,1.9248,5.6214
1011010101,花叶类,1.9419,5.7762
1011010101,花叶类,1.9485,5.3230
1011010101,花叶类,1.9240,5.3706
1011010101,花叶类,1.9256,5.4517
1011010101,花叶类,1.9645,5.3028
1011010101,花叶类,1.9729,5.1723
1011010101,花叶类,1.9705,5.4256
1011010101,花叶类,1.9650,5.5248
1011010101,花叶类,1.9957,5.2883
1011010101,花叶类,1.9937,5.1086
1011010101,花叶类,1.9996,5.2665
1011010101,花叶类,1.9966,5.3070
1011010101,花叶类,2.0194,5.2840
1011010101,花叶类,2.0445,5.4376
1011010101,花叶类,2.1299,5.4936
1011010101,花叶类,2.1067,5.3368
1011010101,花叶类,2.0494,5.1930
1011010101,花叶类,2.0979,5.4988
1011010101,花叶类,2.0255,5.4586
1011010101,花叶类,2.0710,5.3227
1011010101,花叶类,2.0499,5.7403
1011010101,花叶类,2.0257,5.5238
1011010101,花叶类,1.9722,5.3485
1011010101,花叶类,1.9240,5.3786
1011010101,花叶类,1.9424,5.3321
1011010101,花叶类,1.9043,5.2375
1011010101,花叶类,1.9121,5.3834
1011010101,花叶类,1.8992,5.5018
1011010101,花叶类,1.8992,5.4868
1011010101,花叶类,1.8737,5.3736
1011010101,花叶类,1.8650,5.4166
1011010101,花叶类,1.8890,5.3668
1011010101,花叶类,1.8964,5.4533
1011010101,花叶类,1.8923,5.3331
1011010101,花叶类,1.8874,5.6098
1011010101,花叶类,1.9043,5.5666
1011010101,花叶类,1.8725,5.5633
1011010101,花叶类,1.8865,5.8390
1011010101,花叶类,1.9423,5.4876
1011010101,花叶类,1.9606,5.2933
1011010101,花叶类,1.9612,5.2732
1011010101,花叶类,1.9763,5.5874
1011010101,花叶类,1.9369,5.5850
1011010101,花叶类,1.9496,5.4156
1011010101,花叶类,1.9269,5.2610
1011010101,花叶类,1.9257,5.1920
1011010101,花叶类,1.9245,5.2651
1011010101,花叶类,1.9062,5.1723
1011010101,花叶类,1.9000,5.5197
1011010101,花叶类,1.9267,5.6220
1011010101,花叶类,1.9112,4.9987
1011010101,花叶类,1.9206,5.0647
1011010101,花叶类,1.9156,4.8789
1011010101,花叶类,1.8744,4.7868
1011010101,花叶类,1.8394,5.0236
1011010101,花叶类,1.8358,5.4478
1011010101,花叶类,1.8291,5.5735
1011010101,花叶类,1.8352,5.1696
1011010101,花叶类,1.8905,5.0502
1011010101,花叶类,1.8065,5.1759
1011010101,花叶类,1.8834,4.9666
1011010101,花叶类,1.8825,5.0395
1011010101,花叶类,1.8715,5.4633
1011010101,花叶类,1.8902,5.7620
1011010101,花叶类,1.8913,5.3613
1011010101,花叶类,1.9561,5.4478
1011010101,花叶类,1.9670,5.1888
1011010101,花叶类,2.0212,5.0929
1011010101,花叶类,2.0255,5.1578
1011010101,花叶类,2.0214,5.4320
1011010101,花叶类,2.0926,5.2974
1011010101,花叶类,2.1054,4.7443
1011010101,花叶类,2.0891,5.0623
1011010101,花叶类,2.0885,5.1769
1011010101,花叶类,2.0904,5.5151
1011010101,花叶类,2.0675,5.4977
1011010101,花叶类,2.1445,5.6982
1011010101,花叶类,2.1131,5.4501
1011010101,花叶类,2.1059,5.6857
1011010101,花叶类,2.2026,5.6617
1011010101,花叶类,2.2010,5.5427
1011010101,花叶类,2.2026,5.5323
1011010101,花叶类,2.1838,5.0908
1011010101,花叶类,2.1915,5.1657
1011010101,花叶类,2.1514,5.4726
1011010101,花叶类,2.1333,5.1370
1011010101,花叶类,2.0551,5.1849
1011010101,花叶类,2.0964,5.2093
1011010101,花叶类,2.1208,5.2483
1011010101,花叶类,2.1265,5.1403
1011010101,花叶类,2.0515,5.5224
1011010101,花叶类,2.0087,5.4238
1011010101,花叶类,2.0516,5.0285
1011010101,花叶类,2.0397,5.2262
1011010101,花叶类,2.0255,5.1285
1011010101,花叶类,2.0284,4.7642
1011010101,花叶类,2.0098,5.3562
1011010101,花叶类,2.0084,5.6423
1011010101,花叶类,1.9720,5.4090
1011010101,花叶类,2.1377,5.0644
1011010101,花叶类,2.1259,5.0406
1011010101,花叶类,2.0798,5.1212
1011010101,花叶类,2.0214,4.7921
1011010101,花叶类,1.9848,4.9989
1011010101,花叶类,1.9575,5.5138
1011010101,花叶类,1.8878,5.3325
1011010101,花叶类,1.8646,4.9729
1011010101,花叶类,1.8702,4.9058
1011010101,花叶类,1.9101,4.8050
1011010101,花叶类,1.9068,4.9858
1011010101,花叶类,1.8977,4.9599
1011010101,花叶类,1.8314,5.4161
1011010101,花叶类,1.8413,5.3462
1011010101,花叶类,1.7921,4.9761
1011010101,花叶类,1.8622,5.0624
1011010101,花叶类,1.8334,5.0164
1011010101,花叶类,1.8232,5.0182
1011010101,花叶类,1.7905,4.9557
1011010101,花叶类,1.8155,5.3334
1011010101,花叶类,1.7636,5.4260
1011010101,花叶类,1.8032,4.9423
1011010101,花叶类,1.7461,5.4050
1011010101,花叶类,1.7364,5.3148
1011010101,花叶类,1.6994,5.3366
1011010101,花叶类,1.6442,5.4994
1011010101,花叶类,1.6787,6.1338
1011010101,花叶类,1.6921,5.9188
1011010101,花叶类,1.6349,5.6846
1011010101,花叶类,1.6709,5.3945
1011010101,花叶类,1.7192,5.4711
1011010101,花叶类,1.6887,5.6452
1011010101,花叶类,1.7284,5.4187
1011010101,花叶类,1.7548,5.9922
1011010101,花叶类,1.8025,5.6619
1011010101,花叶类,1.6956,5.3344
1011010101,花叶类,1.6346,5.6623
1011010101,花叶类,1.6799,5.3644
1011010101,花叶类,1.6871,5.6135
1011010101,花叶类,1.6777,5.4911
1011010101,花叶类,1.7159,5.7267
1011010101,花叶类,1.7212,5.9057
1011010101,花叶类,1.7647,5.2868
1011010101,花叶类,1.7350,5.2148
1011010101,花叶类,1.7496,5.1967
1011010101,花叶类,1.6493,5.2393
1011010101,花叶类,1.5863,5.3590
1011010101,花叶类,1.6406,5.5970
1011010101,花叶类,1.6618,5.9290
1011010101,花叶类,1.6732,5.2865
1011010101,花叶类,1.7042,5.3172
1011010101,花叶类,1.6517,5.0241
1011010101,花叶类,1.6602,5.1228
1011010101,花叶类,1.6809,5.0208
1011010101,花叶类,1.6754,5.5856
1011010101,花叶类,1.7189,5.6237
1011010101,花叶类,1.7648,4.9130
1011010101,花叶类,1.7841,5.0251
1011010101,花叶类,1.7821,4.9712
1011010101,花叶类,1.7988,5.3869
