单品编码,单品名称,分类名称,售价,订购量,预计销量,缺货量,需求,批发价,损耗率,弹性,参考价,基准需求,低样本,品类满足率,单品毛利
102900005115250,西峡花菇(1),食用菌,24.0,5.184,4.624,0.0,4.624,15.6,0.108,-2.5197,24.0,4.624,False,1.0,30.11
102900005115762,苋菜,花叶类,4.66,9.519,7.756,0.0,7.756,2.324,0.1852,-0.6992,3.814,8.923,False,1.0,14.02
102900005115786,竹叶菜,花叶类,7.54,10.012,8.649,0.0,8.649,2.319,0.1362,-0.6193,3.765,13.297,False,1.0,42.0
102900005115823,上海青,花叶类,8.0,4.512,3.861,0.0,3.861,4.121,0.1443,-0.3742,8.0,3.861,False,1.0,12.29
102900005115946,木耳菜,花叶类,7.71,6.244,5.769,0.0,5.769,3.211,0.0761,-0.0794,5.411,5.933,False,1.0,24.43
102900005116257,紫茄子(2),茄类,6.891,11.091,10.417,0.0,10.417,3.747,0.0607,-0.3289,6.0,10.903,False,1.0,30.23
102900005116509,青茄子(1),茄类,6.0,2.816,2.675,0.0,2.675,4.048,0.0501,-0.6819,6.0,2.675,False,1.0,4.65
102900005116714,西兰花,花菜类,14.828,12.064,10.947,0.0,10.947,7.824,0.0926,-0.7503,12.349,12.558,False,1.0,67.93
102900005116899,净藕(1),水生根茎类,14.88,6.357,6.005,0.0,6.005,10.746,0.0554,-0.0911,14.318,6.026,False,1.0,21.04
102900005118831,娃娃菜,花叶类,6.72,10.604,10.341,0.0,10.341,4.731,0.0248,-0.311,6.541,10.429,False,1.0,19.32
102900005119975,红薯尖,花叶类,8.4,3.691,3.38,0.0,3.38,3.204,0.0842,-0.6227,5.292,4.507,False,1.0,16.57
102900011000328,螺丝椒,辣椒类,11.6,7.569,6.799,0.0,6.799,7.516,0.1018,-0.3495,11.389,6.842,False,1.0,21.98
102900011001691,菱角,水生根茎类,15.8,2.5,1.628,0.0,1.628,9.173,0.0961,-0.5802,14.0,1.746,False,1.0,2.79
102900011008164,奶白菜,花叶类,5.08,7.417,6.254,0.0,6.254,2.528,0.1568,-0.4521,4.789,6.423,False,1.0,13.02
102900011016701,芜湖青椒(1),辣椒类,5.2,15.094,14.233,0.0,14.233,3.384,0.057,-0.4656,5.2,14.233,False,1.0,22.93
102900011022764,长线茄,茄类,14.0,3.914,3.644,0.0,3.644,6.983,0.069,-0.9441,12.0,4.214,False,1.0,23.68
102900011023464,小青菜(1),花叶类,6.0,5.331,4.78,0.0,4.78,2.83,0.1033,-0.1743,5.2,4.901,False,1.0,13.59
102900011030059,云南生菜(份),花叶类,4.462,35.647,32.286,0.0,32.286,3.604,0.0943,-0.0342,4.462,32.286,False,1.0,15.56
102900011030097,云南油麦菜(份),花叶类,4.294,23.356,21.153,0.0,21.153,2.864,0.0943,-0.1948,4.159,21.286,False,1.0,23.94
102900011030110,菠菜(份),花叶类,5.565,7.694,6.969,0.0,6.969,4.098,0.0943,-0.4521,5.51,7.0,False,1.0,7.25
102900011030929,鲜木耳(份),食用菌,2.425,4.416,4.0,0.0,4.0,1.3,0.0943,-0.3665,2.425,4.0,True,1.0,3.96
102900011031100,小米椒(份),辣椒类,7.656,22.821,20.669,0.0,20.669,2.136,0.0943,-0.1276,5.769,21.429,False,1.0,109.49
102900011031926,虫草花(份),食用菌,3.695,2.506,2.27,0.0,2.27,2.657,0.0943,-0.3128,3.612,2.286,False,1.0,1.73
102900011032022,小皱皮(份),辣椒类,3.5,11.182,10.127,0.0,10.127,1.543,0.0943,-0.358,2.586,11.286,False,1.0,18.19
102900011032251,螺丝椒(份),辣椒类,5.545,11.954,10.827,0.0,10.827,3.277,0.0943,-0.3485,4.923,11.286,False,1.0,20.86
102900011032848,姜蒜小米椒组合装(小份),辣椒类,4.737,7.726,6.997,0.0,6.997,2.437,0.0943,-0.1276,4.722,7.0,False,1.0,14.32
102900011034026,枝江青梗散花,花菜类,13.84,3.831,3.47,0.0,3.47,9.355,0.0943,-0.503,12.862,3.6,False,1.0,12.18
102900011034330,双孢菇(盒),食用菌,5.408,9.796,9.776,0.0,9.776,3.403,0.002,-0.3128,5.03,10.0,False,1.0,19.53
102900011034439,青红杭椒组合装(份),辣椒类,6.574,2.5,2.094,0.0,2.094,3.231,0.0943,-0.1276,5.493,2.143,False,1.0,5.69
102900011035078,红椒(2),辣椒类,19.502,2.5,2.017,0.0,2.017,12.897,0.0943,-0.2475,18.801,2.036,False,1.0,7.1
102900051000944,洪湖藕带,水生根茎类,25.208,4.994,3.793,0.0,3.793,18.0,0.2405,-0.3372,21.017,4.033,False,1.0,5.72
106949711300259,金针菇(盒),食用菌,3.548,13.293,13.234,0.0,13.234,1.453,0.0045,-0.3128,1.88,16.143,False,1.0,27.64
106971533450003,海鲜菇(包),食用菌,2.912,8.698,8.698,0.0,8.698,1.954,0.0,-0.3128,2.748,8.857,False,1.0,8.33
