单品编码,原始弹性,收缩弹性,有效样本量,是否借用品类弹性,品类弹性
102900005115250,-3.1751802261406272,-2.5196699774328435,101,0,-0.3127854734499732
102900005115762,-0.7226333267381424,-0.6992432959009869,317,0,-0.4520886367217105
102900005115779,-0.5294403782808348,-0.5238486861199343,385,0,-0.4520886367217105
102900005115786,-0.633619081935771,-0.6193253460921442,351,0,-0.4520886367217105
102900005115823,-0.3687427154802253,-0.3742259997724283,426,0,-0.4520886367217105
102900005115908,-0.7137945560563109,-0.6914265287627552,321,0,-0.4520886367217105
102900005115946,-0.029724682702764002,-0.07941455964616949,225,0,-0.4520886367217105
102900005115984,-0.9345152052755044,-0.9011677466197121,404,0,-0.4520886367217105
102900005116257,-0.3332484244842491,-0.3289218746320371,489,0,-0.2583991120409815
102900005116509,-0.716558087529399,-0.6819365024798963,367,0,-0.2583991120409815
102900005116714,-0.7635826026726961,-0.7503079526695048,559,0,-0.5029569742767076
102900005116899,-0.09222917764068939,-0.0910776448460702,559,0,-0.0696207504396661
102900005118817,-0.2770839923606303,-0.29115943292586466,343,0,-0.4520886367217105
102900005118824,-1.033065294605796,-0.9305711941625907,252,0,-0.0696207504396661
102900005118831,-0.29729542479562276,-0.3109536493773364,310,0,-0.4520886367217105
102900005119975,-0.6499164261237084,-0.6226924184078371,188,0,-0.4520886367217105
102900011000328,-0.365276535312535,-0.3494681383565791,421,0,-0.1276236344079974
102900011001691,-0.9363801591436571,-0.5801776624159896,43,0,-0.0696207504396661
102900011006948,0.21938500817654621,-0.4520886367217105,118,1,-0.4520886367217105
102900011007969,-0.79288934279825,-0.4187848984748445,28,0,-0.0696207504396661
102900011008164,0.16306643777157895,-0.4520886367217105,313,1,-0.4520886367217105
102900011013274,-0.1908527673824143,-0.20430122761045388,242,0,-0.3127854734499732
102900011016701,-0.48847315299909827,-0.4656345758730792,444,0,-0.1276236344079974
102900011022764,-1.042092805509454,-0.944131093825895,210,0,-0.2583991120409815
102900011023464,-0.11948800401473826,-0.17431228413127214,152,0,-0.4520886367217105
102900011030059,0.004994649465869583,-0.034183917921637295,320,0,-0.4520886367217105
102900011030097,-0.172452526759988,-0.19482341555692578,345,0,-0.4520886367217105
102900011030110,0.3682718589420295,-0.4520886367217105,328,1,-0.4520886367217105
102900011030929,-0.37773650316683227,-0.3665380497673738,144,0,-0.3127854734499732
102900011031100,0.44158209326128706,-0.1276236344079974,329,1,-0.1276236344079974
102900011031926,0.23448700847388443,-0.3127854734499732,146,1,-0.3127854734499732
102900011032022,-0.37811741207333177,-0.35797045944609307,343,0,-0.1276236344079974
102900011032251,-0.3708045217156729,-0.34849434856817973,297,0,-0.1276236344079974
102900011032343,-0.5437839841048041,-0.4755609759577867,153,0,-0.1276236344079974
102900011032732,0.14590666930249602,-0.0696207504396661,141,1,-0.0696207504396661
102900011032848,0.8774467419172278,-0.1276236344079974,182,1,-0.1276236344079974
102900011034026,0.5612853248656131,-0.5029569742767076,284,1,-0.5029569742767076
102900011034330,0.6340724528465488,-0.3127854734499732,255,1,-0.3127854734499732
102900011034439,0.19511859549222071,-0.1276236344079974,85,1,-0.1276236344079974
102900011035078,-0.2654284367276711,-0.24745389729467016,200,0,-0.1276236344079974
102900011035740,-0.27140237681615903,-0.2820134272350857,87,0,-0.3127854734499732
102900051000463,-1.0115057422687999,-0.9308157461729621,250,0,-0.2583991120409815
102900051000944,-0.4040981874203532,-0.3372027000242158,120,0,-0.0696207504396661
106949711300259,0.15394612659259985,-0.3127854734499732,306,1,-0.3127854734499732
106971533450003,0.41176761242542737,-0.3127854734499732,79,1,-0.3127854734499732
