单品编码,大M,最低档需求,可售上限需求,余量
102900005115250,376.251,5.758,6.455,369.796
102900005115762,107.862,9.669,11.867,95.995
102900005115779,229.137,1.796,2.119,227.018
102900005115786,184.557,14.164,16.397,168.16
102900005115823,130.791,4.103,4.795,125.996
102900005115908,156.828,1.4,1.622,155.206
102900005115946,50.547,5.961,6.452,44.095
102900005115984,229.845,0.728,0.835,229.01
102900005116257,328.29,10.903,11.607,316.683
102900005116509,102.756,3.115,3.279,99.477
102900005116714,456.396,13.264,14.618,441.778
102900005116899,471.396,6.657,7.047,464.349
102900005118817,150.84,0.974,1.196,149.644
102900005118824,31.503,3.26,4.607,26.896
102900005118831,1221.0,10.71,10.983,1210.017
102900005119975,165.477,4.789,5.229,160.248
102900011000328,192.645,7.741,8.619,184.026
102900011001691,14.511,1.746,1.932,12.579
102900011006948,33.009,0.952,1.29,31.719
102900011007969,14.217,0.657,0.788,13.429
102900011008164,108.147,6.968,8.263,99.884
102900011013274,144.0,0.614,0.657,143.343
102900011016701,749.922,16.083,17.055,732.867
102900011022764,150.624,4.214,4.527,146.097
102900011023464,72.903,5.13,5.721,67.182
102900011030059,453.0,32.411,35.786,417.214
102900011030097,504.0,21.745,24.009,479.991
102900011030110,306.0,8.352,9.221,296.779
102900011030929,57.0,4.0,4.416,52.584
102900011031100,630.0,21.582,23.829,606.171
102900011031926,84.0,2.489,2.748,81.252
102900011032022,168.0,11.8,13.029,154.971
102900011032251,237.0,12.357,13.644,223.356
102900011032343,17.523,1.101,1.216,16.307
102900011032732,33.138,0.879,0.971,32.167
102900011032848,75.0,7.112,7.853,67.147
102900011034026,142.947,3.668,4.05,138.897
102900011034330,171.0,10.298,10.319,160.681
102900011034439,72.0,2.196,2.425,69.575
102900011035078,36.96,2.152,2.376,34.584
102900011035740,30.0,1.227,1.237,28.763
102900051000463,56.457,1.208,1.295,55.162
102900051000944,33.654,4.243,5.586,28.068
106949711300259,843.0,16.656,16.731,826.269
106971533450003,75.0,9.225,9.225,65.775
