情景,总利润,满足率,选中数,求解状态
rho=0.5,682.0754415217774,1.0,33,0
rho=1.0,682.0754415217774,1.0,33,0
rho=1.5,682.0754415217774,1.0,33,0
选品数=27,657.5397537912626,1.0,27,0
选品数=30,673.6010554547578,1.0,30,0
选品数=33,682.0754415217774,1.0,33,0
弹性x1.2,670.9206034366908,1.0,33,0
弹性x0.8,693.7493776250437,1.0,33,0
批发价x1.1,561.9814864855902,1.0,32,0
批发价x0.9,805.4941325022337,1.0,33,0
损耗率=分类级,657.441210441009,1.0,33,0
网格K=7,656.7823467683152,1.0,33,0
网格分位数,712.6914167166755,1.0,33,0
大M放大50%,682.0754415217774,1.0,33,0
